한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
139,101,73,51,79,73,27,21,20,22,24,13,9,10,8,8,7,9,5,23756,0.73,32542,31,1655,6249,3543,91.0,43.75,1,0,0,0,0
128,66,53,35,71,54,27,25,18,30,26,7,8,7,8,7,5,7,4,20541,0.55,37347,24,1733,9093,5040,91.5,41.75,1,0,0,0,0
22,96,12,1,8,17,19,6,10,4,4,4,9,1,4,2,3,2,3,18746,1.25,14997,5,650,3203,1184,94.75,46.75,1,0,0,0,0
29,70,14,6,14,24,13,6,10,3,10,10,4,2,6,2,3,5,3,20235,0.86,23529,9,866,2833,1189,91.0,44.5,1,0,0,0,0
44,79,39,16,21,25,10,14,12,0,6,7,0,7,10,5,1,7,2,34782,0.62,56100,15,761,2194,1308,78.75,46.0,1,0,0,0,0
62,125,29,22,28,49,40,10,18,10,9,10,3,6,8,4,4,8,5,30085,0.95,31668,4,1159,3208,1732,97.0,47.75,1,0,0,0,0
171,109,57,60,104,58,34,28,21,33,18,18,17,15,16,13,8,12,5,31068,1.22,25466,36,2004,7991,4385,88.5,47.0,1,0,0,0,0
173,117,69,39,111,77,44,31,25,17,15,19,20,15,16,12,6,5,3,30453,0.88,34606,28,2188,7090,3720,98.5,49.75,1,0,0,0,0
120,95,34,79,37,35,24,16,15,13,11,4,12,32,18,9,6,5,3,22927,1.07,21427,13,1462,5039,2720,103.75,48.25,1,0,0,0,0
88,91,39,19,43,54,23,16,14,16,14,12,16,4,11,5,7,7,5,22644,0.73,31019,9,1357,4510,2399,90.0,46.0,1,0,0,0,0
273,70,68,67,164,62,34,22,17,103,25,16,14,25,19,15,14,11,12,23953,0.86,27852,36,2305,8887,4779,90.5,43.5,1,0,0,0,0
175,63,15,33,62,22,29,16,8,21,11,9,6,6,13,5,6,5,0,21904,10.95,2000,30,996,4027,1523,96.75,46.75,1,0,0,0,0
88,156,41,23,34,53,37,21,28,9,17,5,12,16,17,8,2,4,6,33332,2.93,11376,31,1518,5463,2681,89.0,45.25,1,0,0,0,0
92,77,53,9,22,25,13,12,12,11,19,5,33,3,5,7,5,4,0,24996,4.7,5318,21,1458,11655,3841,74.5,49.5,1,0,0,0,0
27,63,18,29,8,16,6,8,10,4,5,7,1,4,5,1,3,3,3,16775,1.0,16775,4,652,3460,1764,84.0,43.5,1,0,0,0,0
19,81,12,20,4,15,10,4,8,0,2,3,1,2,3,4,0,3,0,17696,0.99,17875,4,888,6895,2722,85.25,45.75,1,0,0,0,0
147,96,40,18,73,38,24,17,14,26,24,8,23,2,6,10,6,5,3,21088,10.87,1940,20,1885,35952,16393,91.25,44.5,1,0,0,0,0
117,85,60,50,40,31,14,23,14,16,21,11,24,4,4,4,7,8,3,22726,0.59,38519,29,1880,15416,6077,78.0,46.0,1,0,0,0,0
32,60,21,7,17,23,11,14,9,4,9,12,4,1,4,3,2,5,1,21706,0.92,23593,15,727,3485,1616,91.5,43.75,1,0,0,0,0
118,124,58,150,31,46,30,27,17,17,18,15,17,3,12,12,5,15,6,35567,0.79,45022,48,2425,20629,10622,75.75,43.0,1,0,0,0,0
81,174,51,38,26,48,33,45,15,7,15,16,11,21,16,7,5,18,3,40424,2.96,13657,28,2288,11795,5281,80.5,46.0,1,0,0,0,0
143,190,104,65,61,86,28,26,26,27,26,26,21,23,26,11,9,12,5,43914,1.04,42225,35,3549,10126,4479,87.25,46.0,1,0,0,0,0
122,128,45,198,63,44,25,19,13,23,18,10,20,3,8,9,7,14,6,25212,6.41,3933,31,2003,11834,4756,80.75,47.75,1,0,0,0,0
32,109,23,15,13,25,13,8,14,3,12,6,3,1,0,2,1,7,1,26257,2.38,11032,10,913,4577,1919,93.0,47.5,1,0,0,0,0
108,113,75,23,35,48,22,20,25,15,16,11,20,5,9,8,7,14,6,42118,1.74,24206,35,2190,16307,6284,88.5,47.0,1,0,0,0,0
75,123,80,32,36,63,26,18,21,18,18,12,11,5,12,7,5,11,4,47069,1.36,34610,28,1623,6689,3583,84.5,43.5,1,0,0,0,0
204,213,101,71,167,83,40,30,36,66,47,21,30,7,17,18,21,12,12,53295,1.12,47585,40,3076,10087,4796,93.25,43.75,1,0,0,0,0
21,103,19,15,17,29,19,8,8,4,7,2,5,5,3,2,4,3,2,20246,0.47,43077,7,821,2432,1198,92.25,43.25,1,0,0,0,0
83,75,43,23,41,49,15,18,17,15,10,10,2,3,9,1,8,12,8,23556,0.51,46188,29,1174,4914,2557,83.75,45.5,1,0,0,0,0
100,115,35,44,57,55,22,20,17,28,13,12,8,20,16,7,3,4,8,23382,0.82,28515,16,1401,3745,1925,90.75,44.25,1,0,0,0,0
169,90,48,26,122,43,21,19,17,36,23,11,8,8,8,13,9,3,9,25778,1.12,23016,26,1818,11841,5868,78.25,41.75,1,0,0,0,0
70,106,61,37,34,52,17,23,17,11,8,13,2,11,14,3,3,9,2,27311,0.53,51530,15,1167,3380,1823,84.5,45.75,1,0,0,0,0
