한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
24,97,13,2,7,19,15,8,10,4,4,6,10,3,4,2,4,3,3,18407,1.25,14726,5,656,3314,1252,96.25,48.75,0,1,0,0,0
30,71,14,5,15,23,14,7,10,3,9,9,4,2,6,2,2,5,3,19882,0.86,23119,11,860,2922,1310,92.25,46.75,0,1,0,0,0
44,83,45,17,18,32,11,15,13,4,7,6,0,6,9,4,1,6,3,34452,0.62,55568,19,781,2354,1395,77.0,47.25,0,1,0,0,0
59,122,32,23,24,49,37,17,18,10,9,10,3,4,9,5,6,6,6,29747,0.95,31313,10,1176,3641,2080,99.5,48.0,0,1,0,0,0
173,104,58,56,96,63,32,28,22,33,21,17,16,12,13,14,11,10,6,29310,1.22,24025,37,1955,7783,4303,89.0,48.5,0,1,0,0,0
178,114,71,36,90,78,38,27,26,17,17,20,24,11,13,10,7,6,2,30536,0.88,34700,30,2128,7241,3823,101.0,51.25,0,1,0,0,0
123,90,35,76,38,43,22,14,12,13,13,4,13,31,22,8,8,4,4,22844,1.07,21350,18,1449,4878,2575,104.25,50.0,0,1,0,0,0
86,91,42,21,40,52,24,19,14,19,14,12,14,6,12,4,9,8,5,22372,0.73,30647,11,1363,4339,2301,91.5,47.25,0,1,0,0,0
274,71,73,70,170,72,30,25,17,107,24,13,13,23,17,14,17,11,13,24126,0.86,28053,36,2399,8658,4793,91.25,45.0,0,1,0,0,0
167,62,18,34,55,24,26,15,10,21,12,9,9,5,14,4,7,6,2,22014,10.95,2010,34,993,3970,1479,98.5,47.75,0,1,0,0,0
86,152,45,24,31,57,33,21,27,10,23,6,12,16,15,8,4,4,5,33089,2.93,11293,29,1550,5487,2627,89.25,47.25,0,1,0,0,0
123,75,133,8,24,30,15,18,14,10,36,7,33,2,4,8,8,5,0,27547,4.7,5861,43,1809,14040,5036,68.0,49.0,0,1,0,0,0
25,58,19,18,7,17,5,8,9,4,5,8,1,4,5,2,3,4,3,16432,1.0,16432,5,640,3495,1799,88.0,45.75,0,1,0,0,0
19,85,16,23,3,16,10,3,8,0,2,3,1,1,2,4,0,3,0,17289,0.99,17464,6,933,7631,3062,84.5,48.5,0,1,0,0,0
148,116,53,24,75,40,24,17,13,24,26,11,19,1,6,11,8,7,5,24660,10.87,2269,29,1973,35503,16085,91.25,46.25,0,1,0,0,0
121,88,67,49,35,33,12,22,15,18,21,13,24,2,5,5,6,11,5,23067,0.59,39097,41,1939,15729,6558,79.75,47.75,0,1,0,0,0
35,63,26,6,16,23,12,15,10,5,8,9,5,0,5,4,3,5,3,22072,0.92,23991,17,735,3454,1638,95.5,45.0,0,1,0,0,0
129,113,53,224,31,47,32,27,17,18,19,21,18,4,10,12,9,16,6,34962,0.79,44256,59,2627,22329,11293,75.25,44.25,0,1,0,0,0
84,181,54,43,28,52,33,39,16,7,15,16,10,18,17,7,6,17,5,39921,2.96,13487,29,2322,11966,5386,82.5,47.5,0,1,0,0,0
164,190,113,58,57,91,25,31,25,27,29,24,22,26,27,11,9,14,7,46284,1.04,44504,42,2879,10377,5049,85.0,47.25,0,1,0,0,0
121,130,50,198,62,48,28,21,14,24,18,9,20,5,9,9,9,16,7,25035,6.41,3906,35,2932,13631,5034,83.0,48.75,0,1,0,0,0
33,114,26,15,12,28,13,6,13,3,11,7,2,1,3,2,1,7,2,25779,2.38,10832,16,932,4739,2015,94.75,48.75,0,1,0,0,0
107,101,72,19,39,48,21,22,25,14,19,13,18,5,8,9,7,13,6,41116,1.74,23630,40,2149,15633,6041,91.75,48.75,0,1,0,0,0
88,119,86,34,35,69,22,19,21,17,18,12,10,5,10,7,6,13,5,46886,1.36,34475,28,1708,7430,3927,83.0,45.25,0,1,0,0,0
211,214,110,68,167,89,42,33,37,63,50,23,27,6,15,20,19,14,14,54425,1.12,48594,45,3126,10841,5151,94.25,45.0,0,1,0,0,0
30,102,23,9,16,33,17,8,12,5,8,5,5,4,2,2,4,4,2,20465,0.47,43543,7,852,2790,1464,94.5,44.25,0,1,0,0,0
93,71,48,25,43,53,15,16,18,18,11,12,1,3,12,5,11,11,8,23190,0.51,45471,29,1227,5360,2854,84.0,46.25,0,1,0,0,0
105,118,35,45,53,61,19,20,16,35,14,13,7,21,20,9,6,4,8,23317,0.82,28435,20,1444,3860,1994,92.75,45.25,0,1,0,0,0
174,88,51,31,138,42,23,20,17,40,24,16,8,6,8,14,13,6,6,25797,1.12,23033,29,1850,11322,5326,79.5,43.0,0,1,0,0,0
72,105,66,35,31,55,15,18,16,13,10,15,2,11,16,8,3,9,5,27232,0.53,51381,19,1230,3229,1665,83.75,47.0,0,1,0,0,0
88,127,51,21,56,44,28,21,20,12,15,16,6,11,12,10,6,5,6,36628,1.11,32998,15,1355,4047,2274,100.75,47.75,0,1,0,0,0
135,34,35,8,83,33,19,32,12,23,18,11,10,1,8,11,9,4,5,18213,2.27,8023,44,1265,7741,3562,81.5,48.5,0,1,0,0,0
30,133,27,14,22,46,32,15,16,9,13,12,8,8,9,1,4,7,7,30539,0.96,31811,10,959,2411,1230,100.75,56.0,0,1,0,0,0
12,62,15,3,5,16,7,6,7,1,4,7,0,2,5,2,1,2,1,17013,0.8,21266,5,420,1926,1008,81.25,49.0,0,1,0,0,0
84,41,26,18,47,27,5,12,11,12,19,10,7,4,5,6,1,6,3,18981,3.27,5805,18,874,5163,2276,94.5,50.0,0,1,0,0,0
172,44,40,7,60,45,29,53,20,31,30,23,0,3,9,19,14,11,27,24408,8.3,2941,68,1701,12609,5611,85.0,48.25,0,1,0,0,0
79,176,43,45,31,52,28,23,21,11,17,13,14,8,14,6,5,6,2,33604,1.38,24351,16,1625,6027,2937,102.5,50.5,0,1,0,0,0
95,76,39,179,34,52,19,19,17,17,10,11,2,5,12,9,5,11,2,26649,0.76,35064,21,1397,6434,3199,87.25,49.5,0,1,0,0,0
55,138,28,31,17,31,27,8,19,4,6,9,7,20,12,4,2,3,0,27467,2.66,10326,3,1062,2372,1211,116.25,55.75,0,1,0,0,0
70,57,30,8,22,25,24,13,17,7,16,7,4,3,7,7,4,4,9,25475,0.99,25732,20,1316,3296,1261,93.5,51.0,0,1,0,0,0
143,54,34,76,100,35,22,26,12,31,20,9,8,0,4,7,9,10,8,23973,0.65,36882,41,1296,7974,4014,94.25,51.5,0,1,0,0,0
17,93,33,11,12,37,14,8,11,2,7,8,7,4,5,7,2,5,3,34015,0.68,50022,11,880,2964,1523,90.0,44.75,0,1,0,0,0
159,29,96,57,134,57,21,28,23,49,35,6,3,7,6,7,8,3,13,21341,0.54,39520,39,1623,5671,2842,93.0,46.0,0,1,0,0,0
78,56,69,24,42,67,24,35,26,20,22,14,14,13,16,17,6,5,7,26627,0.64,41605,13,1422,4712,2184,91.25,47.0,0,1,0,0,0
64,43,33,24,26,33,20,18,11,9,7,12,3,21,15,6,1,6,5,20272,0.55,36858,9,851,2453,1383,93.25,50.75,0,1,0,0,0
111,106,62,21,57,51,25,21,20,14,19,14,21,4,11,10,6,12,3,36111,0.78,46296,20,1596,7330,3479,96.25,46.75,0,1,0,0,0
64,78,44,29,25,38,18,28,19,16,18,12,1,16,11,5,5,6,5,28004,1.08,25930,24,1047,4006,2142,93.75,49.0,0,1,0,0,0
138,444,54,41,77,47,33,17,16,35,16,15,28,7,15,20,8,5,11,20413,0.67,30467,23,2184,7073,2980,102.75,45.0,0,1,0,0,0
86,46,47,20,45,37,14,8,11,8,14,9,9,1,4,5,2,5,4,15368,0.39,39405,27,1086,5076,2575,100.0,47.75,0,1,0,0,0
155,62,89,82,63,72,21,31,26,23,33,20,5,11,11,11,10,10,7,29582,1.18,25069,46,1866,11207,4636,95.5,47.0,0,1,0,0,0
16,39,23,6,16,24,8,7,9,3,5,2,1,5,4,2,1,4,1,16974,0.3,56580,7,443,1185,671,96.25,52.5,0,1,0,0,0
95,68,60,48,47,66,22,21,24,16,23,17,5,9,10,4,4,10,5,30578,0.72,42469,30,1464,6151,3271,101.75,49.25,0,1,0,0,0
80,28,66,21,21,30,23,23,15,6,19,8,4,2,6,5,3,16,2,36613,2.39,15319,34,1402,12078,5580,82.25,51.25,0,1,0,0,0
150,67,82,36,87,54,23,27,23,47,23,13,4,4,6,12,11,13,7,23387,0.56,41763,38,1900,6556,2888,96.75,47.0,0,1,0,0,0
99,113,39,24,25,38,18,14,17,11,13,10,6,2,9,5,4,6,9,25889,1.39,18625,23,1251,5199,2345,98.0,52.75,0,1,0,0,0
134,56,68,105,51,52,37,30,24,17,24,12,6,1,4,11,8,18,6,29789,1.02,29205,43,2636,19517,6124,99.5,50.75,0,1,0,0,0
106,70,48,22,64,49,20,27,20,22,21,15,10,4,12,12,8,11,8,22048,0.74,29795,49,1609,10040,4666,95.25,48.75,0,1,0,0,0
54,25,29,8,25,12,15,9,8,19,16,6,3,0,4,0,3,4,3,11648,1.1,10589,21,758,5945,2879,90.0,50.25,0,1,0,0,0
131,92,60,60,34,56,22,18,17,20,17,13,10,26,19,12,8,7,9,23951,0.57,42019,29,1736,8527,3604,97.5,47.25,0,1,0,0,0
76,129,54,17,38,48,25,18,23,18,15,11,9,3,6,4,4,7,5,27532,1.68,16388,24,1524,7659,3283,97.25,46.5,0,1,0,0,0
71,92,61,74,14,37,14,17,21,3,18,9,4,1,7,6,3,20,2,30555,1.2,25463,44,1356,6395,3484,83.75,47.5,0,1,0,0,0
154,108,53,95,63,60,23,29,20,48,22,20,9,22,23,68,16,7,14,27232,1.16,23476,45,2058,6388,2968,92.0,48.0,0,1,0,0,0
99,63,46,22,63,39,24,20,12,21,13,12,14,15,16,4,7,7,4,16342,0.62,26358,21,1639,6476,2549,99.25,47.5,0,1,0,0,0
94,87,60,26,44,56,20,13,18,23,18,6,12,5,8,5,3,4,5,22877,0.55,41595,19,1660,6711,3308,91.75,46.0,0,1,0,0,0
74,76,46,23,62,49,19,18,17,16,13,7,7,5,5,6,4,7,7,17960,0.6,29933,25,1347,5601,2483,94.5,45.75,0,1,0,0,0
89,140,41,58,38,55,28,24,19,17,15,5,2,8,13,4,8,10,5,31786,2.32,13701,26,1545,4810,2149,97.0,48.25,0,1,0,0,0
286,48,74,49,255,77,26,47,24,90,55,22,3,10,6,17,20,22,19,24495,1.16,21116,105,2474,15035,7227,82.75,46.75,0,1,0,0,0
70,40,24,17,73,33,45,7,9,41,12,4,7,11,6,66,2,0,8,17575,0.4,43938,7,976,2820,1573,109.75,48.5,0,1,0,0,0
118,180,47,26,47,67,40,22,26,19,18,20,12,4,20,14,8,13,7,35883,1.31,27392,28,1756,5596,2875,93.25,49.5,0,1,0,0,0
57,120,40,20,33,55,19,16,19,11,7,15,8,10,9,4,3,9,5,34663,0.8,43329,20,1133,2989,1693,99.5,50.25,0,1,0,0,0
56,117,32,24,31,51,17,14,10,8,7,15,9,5,10,4,6,3,4,22262,0.81,27484,17,1012,5099,2391,109.5,47.0,0,1,0,0,0
122,117,29,98,58,42,29,19,12,22,12,18,9,7,8,11,13,9,7,25371,1.16,21872,34,2629,9475,4067,91.5,49.75,0,1,0,0,0
77,144,43,43,32,56,22,21,19,11,11,13,16,14,12,6,4,7,4,30410,1.02,29814,19,1427,3976,2055,100.75,49.0,0,1,0,0,0
20,72,23,7,20,20,8,9,14,2,7,4,6,0,8,2,2,4,3,22645,1.02,22201,8,626,3021,1098,107.5,48.5,0,1,0,0,0
258,147,89,34,91,79,80,32,26,35,22,16,25,11,11,59,14,6,6,37072,1.76,21064,51,7912,30343,12792,103.0,47.75,0,1,0,0,0
292,65,131,38,86,45,30,49,20,37,54,20,6,0,5,40,15,18,6,28081,1.02,27530,112,6881,82785,29914,71.75,45.75,0,1,0,0,0
133,90,66,89,88,69,53,38,20,36,15,16,4,33,17,59,7,6,9,28651,0.46,62285,19,2023,5011,2775,96.25,46.25,0,1,0,0,0
228,126,94,264,65,45,31,33,28,43,30,15,11,3,7,28,11,19,6,35068,1.03,34047,48,4857,26516,11598,80.0,45.5,0,1,0,0,0
65,155,30,9,20,32,25,15,13,9,18,11,8,3,13,7,6,7,5,25920,2.67,9708,19,1272,5881,2111,95.25,50.25,0,1,0,0,0
132,82,71,156,29,39,24,17,13,12,24,17,10,4,7,9,6,22,3,38202,1.47,25988,51,2835,14839,7155,70.75,45.75,0,1,0,0,0
75,80,30,25,34,40,18,17,16,16,18,9,5,10,10,5,8,9,4,21943,0.59,37192,17,1121,5158,2697,103.0,52.25,0,1,0,0,0
82,208,45,13,18,45,25,21,22,8,19,15,5,11,16,8,2,11,3,45854,4.6,9968,23,1573,7882,3290,80.0,49.0,0,1,0,0,0
429,191,194,705,82,39,66,77,18,32,76,23,19,7,3,52,22,21,7,23488,2.52,9321,173,13752,153745,53813,68.0,44.0,0,1,0,0,0
186,159,65,52,55,41,49,31,22,32,23,17,35,5,42,20,10,9,4,36800,2.09,17608,42,3922,24440,9052,88.75,50.25,0,1,0,0,0
80,110,33,17,38,51,24,11,17,13,9,10,8,9,12,6,5,5,4,23077,0.6,38462,7,1178,3542,1630,94.5,48.75,0,1,0,0,0
120,142,65,46,84,72,59,29,27,25,17,15,14,20,18,45,9,6,7,31245,0.92,33962,16,2190,8267,3618,99.5,44.75,0,1,0,0,0
74,83,26,11,48,36,24,16,13,23,12,11,8,3,5,11,7,2,4,19158,0.59,32471,14,1011,3674,1735,99.5,47.5,0,1,0,0,0
246,160,71,128,107,80,43,55,28,42,30,26,15,35,22,18,17,15,7,38320,1.71,22409,42,2986,13912,6883,101.0,50.0,0,1,0,0,0
7,119,18,2,6,19,8,8,8,1,3,4,3,2,5,1,0,2,0,24154,1.26,19170,7,576,2005,1233,84.75,49.0,0,1,0,0,0
74,114,27,9,16,15,15,12,5,7,9,4,16,1,6,5,4,4,3,12255,1.07,11453,10,3340,10610,3041,119.5,51.5,0,1,0,0,0
27,135,20,18,21,36,20,16,10,6,8,8,6,3,10,4,3,2,3,23271,0.87,26748,12,859,1938,1112,97.0,45.25,0,1,0,0,0
82,126,34,30,38,52,30,17,17,15,8,13,7,11,12,3,6,6,8,22886,1.39,16465,15,1173,3445,1822,103.0,47.75,0,1,0,0,0
190,210,75,54,64,73,30,36,26,29,37,27,26,19,13,10,11,12,6,40220,1.41,28525,50,2776,11472,5526,96.5,49.25,0,1,0,0,0
115,197,64,24,32,53,22,39,23,27,31,21,4,2,15,8,12,16,7,44747,6.82,6561,67,1944,11763,5795,84.25,47.0,0,1,0,0,0
9,54,13,8,4,9,9,4,3,4,2,3,1,0,0,1,1,1,1,19155,0.8,23944,7,469,2191,910,87.5,48.25,0,1,0,0,0
170,168,61,27,57,61,22,21,22,30,23,19,19,2,12,10,9,11,7,42402,5.62,7545,42,3133,10559,4367,80.0,45.0,0,1,0,0,0
238,80,59,252,143,85,24,28,22,60,21,26,16,8,16,15,14,23,11,22171,0.61,36346,63,2459,9991,5932,80.0,43.5,0,1,0,0,0
98,183,38,29,44,46,35,15,19,19,10,12,9,14,10,6,7,5,4,30174,5.62,5369,15,1434,4495,2013,105.25,49.25,0,1,0,0,0
91,124,56,37,48,63,28,22,18,17,11,12,16,9,9,4,7,6,8,27742,0.44,63050,23,1568,4708,2636,97.25,45.5,0,1,0,0,0
104,93,56,24,44,50,21,27,17,20,25,15,3,9,9,14,8,13,6,36593,1.11,32967,32,1910,14943,9344,92.25,45.25,0,1,0,0,0
19,47,16,18,7,17,7,5,9,3,4,4,1,3,3,3,0,7,2,25627,0.67,38249,6,577,1935,1190,96.75,57.0,0,1,0,0,0
18,84,23,28,7,18,8,13,9,2,5,6,0,4,4,2,1,3,2,23300,0.81,28765,5,721,2519,1437,98.0,49.5,0,1,0,0,0
133,135,35,12,35,41,20,26,13,32,23,19,11,2,8,9,13,10,10,24289,1.16,20939,36,1444,6011,2438,92.75,50.75,0,1,0,0,0
17,159,17,6,6,24,15,10,13,2,9,10,1,2,8,3,0,5,0,26914,1.94,13873,13,922,3313,1460,88.5,50.25,0,1,0,0,0
35,166,35,41,3,25,14,11,13,1,7,11,2,3,7,2,0,7,1,33919,1.17,28991,13,965,3371,1568,87.25,46.5,0,1,0,0,0
29,57,36,16,6,28,14,28,16,5,10,8,6,1,7,2,0,11,3,29363,0.63,46608,19,951,4219,2299,84.25,47.75,0,1,0,0,0
52,133,23,226,14,36,24,20,11,2,7,11,1,2,7,10,0,13,1,39542,0.9,43936,24,1360,5472,3300,85.0,48.75,0,1,0,0,0
110,75,22,36,35,27,14,20,7,24,8,16,5,3,5,5,9,11,6,22336,1.7,13139,20,1044,3766,2108,83.75,45.0,0,1,0,0,0
55,78,34,18,28,35,15,19,15,7,12,14,7,2,6,8,4,5,5,28026,1.97,14226,31,1184,5296,2671,81.5,45.25,0,1,0,0,0
75,63,22,93,20,24,17,12,12,3,14,10,15,1,5,6,2,6,1,29914,1.55,19299,21,1023,7727,3984,89.75,50.25,0,1,0,0,0
15,66,15,0,1,16,9,6,7,0,1,5,0,1,2,0,0,1,2,24778,0.51,48584,2,387,1248,695,104.5,56.25,0,1,0,0,0
206,107,44,22,53,44,30,17,13,26,22,10,12,7,13,8,10,3,4,23628,8.72,2710,23,1701,6063,2598,100.0,49.25,0,1,0,0,0
85,120,37,18,44,37,16,9,14,8,9,6,11,6,7,7,2,9,2,29224,0.83,35210,20,1439,6722,2839,92.75,47.25,0,1,0,0,0
214,118,75,89,98,73,33,34,23,44,23,22,18,9,10,13,20,14,15,31371,0.69,45465,28,2330,10831,5033,86.25,43.75,0,1,0,0,0
71,95,22,32,23,57,22,16,13,10,11,8,8,21,11,7,5,6,1,22391,0.74,30258,10,1244,3029,1579,90.0,46.0,0,1,0,0,0
40,114,21,8,7,20,14,9,14,5,7,10,7,2,4,1,4,4,0,30448,2.64,11533,12,871,3127,1526,90.0,52.5,0,1,0,0,0
31,91,17,7,15,33,22,22,12,3,12,8,3,5,9,5,4,5,3,22555,1.24,18190,25,928,3908,2100,90.75,45.25,0,1,0,0,0
69,100,28,38,28,52,20,22,16,16,12,14,8,5,7,5,7,7,7,21104,0.54,39081,16,1308,5503,2660,85.5,47.0,0,1,0,0,0
53,52,39,34,23,30,22,10,13,7,12,8,10,11,12,5,2,4,2,17762,0.5,35524,10,975,4078,1970,91.0,48.25,0,1,0,0,0
13,69,17,22,3,28,12,15,11,1,9,5,1,2,4,2,0,1,3,20763,0.52,39929,10,616,1922,1027,88.25,46.5,0,1,0,0,0
56,434,47,28,26,35,20,16,16,11,10,4,9,3,5,4,5,6,4,27745,0.88,31528,16,1404,3739,1958,88.25,45.25,0,1,0,0,0
70,152,45,45,28,53,23,10,22,7,17,19,10,8,12,7,5,5,6,31477,1.07,29418,10,1398,4457,2163,89.75,48.75,0,1,0,0,0
69,89,28,22,38,32,15,12,13,12,10,9,11,9,12,3,4,7,1,15568,0.67,23236,11,969,2242,1201,93.5,48.0,0,1,0,0,0
68,65,37,22,34,24,18,19,11,15,14,11,3,4,4,5,6,12,3,29374,0.96,30598,15,1284,7286,3503,96.75,45.75,0,1,0,0,0
85,96,45,28,33,44,13,17,15,19,14,13,10,3,9,8,7,10,6,26862,0.7,38374,33,2219,7259,3424,86.5,44.5,0,1,0,0,0
108,97,70,39,39,30,20,15,14,17,19,7,10,1,4,4,8,4,2,24846,0.79,31451,26,2242,10402,4713,94.5,51.0,0,1,0,0,0
81,142,42,22,29,39,27,17,16,13,13,6,26,10,13,6,3,4,6,30291,0.85,35636,10,2055,6059,2391,104.5,52.25,0,1,0,0,0
354,108,110,97,74,47,83,49,30,26,48,18,28,29,17,22,13,10,5,33484,1.61,20798,80,5820,32819,14630,104.25,46.0,0,1,0,0,0
132,86,56,24,78,57,30,50,27,16,28,21,8,10,7,20,7,13,13,32045,1.04,30813,59,1486,6849,3147,103.5,51.25,0,1,0,0,0
30,81,32,7,23,18,13,6,12,6,15,7,3,3,6,3,1,3,1,22692,0.69,32887,11,729,2257,922,102.0,50.75,0,1,0,0,0
263,188,101,63,80,77,40,35,39,30,41,21,102,9,19,16,17,11,8,38812,1.25,31050,44,4539,21790,9612,98.5,44.5,0,1,0,0,0
218,164,64,157,76,78,49,47,26,29,28,21,22,6,20,14,17,16,8,31441,1.09,28845,40,3204,11468,5971,94.0,44.25,0,1,0,0,0
156,116,59,224,52,62,33,38,18,21,23,16,17,11,16,7,8,15,6,30779,1.21,25437,46,2178,8303,4033,103.75,53.5,0,1,0,0,0
25,77,18,15,18,31,14,23,13,8,13,6,3,1,1,8,4,5,2,20793,0.86,24178,19,875,4824,2393,107.5,48.25,0,1,0,0,0
235,91,64,33,114,41,99,37,20,6,21,11,26,526,67,15,3,8,3,28551,1.18,24196,37,4739,11977,5391,127.0,57.0,0,1,0,0,0
148,84,40,35,53,42,45,27,14,15,11,11,5,22,10,8,9,5,5,23560,1.2,19633,27,1683,8132,3524,133.0,54.0,0,1,0,0,0
120,22,20,37,69,27,14,38,8,21,17,14,1,1,1,16,6,14,5,12587,0.76,16562,67,988,9709,5197,89.25,46.0,0,1,0,0,0
79,43,30,13,28,31,19,22,13,12,17,8,4,5,11,5,2,6,5,14964,0.63,23752,26,1027,4606,2333,98.75,49.5,0,1,0,0,0
38,470,36,6,11,22,17,14,15,4,14,11,4,3,4,1,4,7,3,25467,1.05,24254,17,1197,4977,2462,86.0,48.75,0,1,0,0,0
146,72,76,21,53,51,36,48,23,15,33,19,3,7,10,16,8,14,21,33400,1.58,21139,101,2148,9310,4608,105.25,56.25,0,1,0,0,0
91,37,37,18,44,27,26,23,11,17,16,9,0,6,6,10,3,6,7,14949,0.64,23358,33,1554,6340,2852,107.75,53.25,0,1,0,0,0
84,69,62,24,41,38,27,23,23,11,26,16,14,5,5,12,6,14,4,40656,1.55,26230,27,1660,12152,5329,95.5,48.25,0,1,0,0,0
158,69,77,38,75,43,17,20,19,33,22,15,7,7,11,12,8,13,6,23961,0.79,30330,41,1845,9566,4890,92.75,47.0,0,1,0,0,0
132,63,59,58,83,60,18,26,24,27,19,16,3,21,12,15,6,14,7,30105,2.75,10947,45,1651,5818,3061,95.5,49.75,0,1,0,0,0
52,60,41,9,20,32,13,9,13,5,8,11,9,7,9,1,2,6,0,24625,0.92,26766,16,1005,4316,2123,99.5,49.0,0,1,0,0,0
31,55,24,19,11,31,12,12,16,9,7,8,0,13,10,2,2,9,3,15043,0.38,39587,6,684,1738,954,96.75,48.0,0,1,0,0,0
22,44,16,4,4,25,11,6,7,2,3,7,4,3,4,2,1,1,1,13389,0.57,23489,8,506,1709,815,97.5,49.0,0,1,0,0,0
112,85,80,28,60,63,24,35,19,15,34,18,15,11,13,13,11,20,15,48245,1.51,31950,64,1704,8381,3934,90.25,51.0,0,1,0,0,0
87,62,77,41,24,46,17,20,16,16,16,13,7,12,8,4,6,15,5,27817,0.98,28385,23,1287,4543,2408,108.5,54.0,0,1,0,0,0
49,83,45,38,21,40,16,11,15,13,8,8,1,9,8,8,4,8,5,26041,0.6,43402,13,946,2683,1434,96.25,51.75,0,1,0,0,0
54,113,33,22,22,40,19,13,11,11,9,10,2,8,10,3,2,2,2,30501,0.75,40668,21,983,2910,1614,99.25,48.75,0,1,0,0,0
58,47,45,36,22,46,22,14,17,11,9,10,5,7,9,15,2,7,4,27939,0.62,45063,17,1060,4364,2262,99.25,48.75,0,1,0,0,0
107,49,43,10,22,36,16,21,13,12,20,8,7,3,3,9,9,7,6,21461,1.03,20836,41,1219,24086,12789,96.25,49.25,0,1,0,0,0
134,75,76,40,67,52,37,28,23,10,19,14,4,11,9,15,9,18,9,35115,1.68,20902,45,1495,10142,5433,102.5,55.25,0,1,0,0,0
205,98,108,22,59,73,39,28,29,14,21,19,4,14,17,15,12,9,7,39705,1.01,39312,55,2764,18875,8757,104.0,51.5,0,1,0,0,0
115,31,60,12,48,33,18,35,8,10,30,18,7,3,6,13,4,9,9,14223,0.88,16163,52,1583,9646,5130,103.25,50.5,0,1,0,0,0
135,41,64,22,63,37,16,24,18,22,13,16,2,10,9,17,4,6,3,23387,0.62,37721,49,2012,15583,7880,97.5,50.5,0,1,0,0,0
99,109,48,36,43,46,12,22,17,17,17,11,8,16,13,8,7,12,4,22292,1.14,19554,49,1771,4705,1844,88.0,46.25,0,1,0,0,0
83,98,39,32,34,54,15,17,17,12,14,14,6,10,11,10,4,10,4,20494,0.67,30588,39,1362,5226,2166,87.5,44.5,0,1,0,0,0
238,84,65,19,48,32,27,41,18,6,40,27,1,3,6,23,5,23,1,33814,8.4,4025,122,2341,38152,14657,55.5,41.0,0,1,0,0,0
125,48,73,34,60,56,12,21,14,3,33,14,6,2,4,10,2,26,7,26362,1.45,18181,96,1699,11958,6098,72.5,44.25,0,1,0,0,0
626,50,165,377,531,233,44,97,18,87,90,56,9,4,8,60,26,92,18,27798,1.65,16847,514,9536,62203,31051,71.0,45.25,0,1,0,0,0
65,66,45,6,14,22,17,12,14,11,18,7,13,0,4,8,3,7,5,20838,0.8,26048,35,1539,11078,3629,85.0,45.25,0,1,0,0,0
92,137,53,99,23,39,21,24,19,2,20,16,12,26,10,8,6,15,1,40199,2.07,19420,33,1782,11771,5716,89.5,52.0,0,1,0,0,0
61,54,48,6,17,29,18,17,13,3,14,12,7,3,7,9,3,7,0,22093,0.78,28324,23,1174,5334,2426,93.75,51.25,0,1,0,0,0
91,30,87,35,27,36,23,18,13,1,16,9,4,17,15,5,0,14,2,26250,0.76,34539,25,1745,12598,5201,98.5,48.75,0,1,0,0,0
81,46,42,27,80,38,13,17,9,6,19,5,8,0,3,25,1,16,1,18592,0.65,28603,87,1506,5926,2744,61.5,49.5,0,1,0,0,0
38,35,27,21,16,28,11,15,9,6,8,14,4,7,4,5,1,8,0,12033,0.43,27984,27,720,3618,1763,104.0,53.0,0,1,0,0,0
152,30,74,13,59,29,17,27,15,24,22,8,10,2,6,12,7,11,2,22535,0.84,26827,47,2608,19216,7889,90.75,48.75,0,1,0,0,0
128,73,62,31,74,45,10,10,14,10,23,6,12,1,3,13,4,13,4,20272,1.69,11995,81,2049,14716,5964,83.25,46.75,0,1,0,0,0
66,28,26,50,42,10,22,15,5,6,4,7,0,30,15,2,2,5,0,16929,0.51,33194,6,733,2047,1288,127.75,56.0,0,1,0,0,0
89,71,52,26,45,55,23,27,13,18,10,15,11,4,14,8,10,9,5,23539,0.77,30570,32,1308,4207,2012,98.25,49.25,0,1,0,0,0
20,80,22,2,2,20,10,8,7,0,11,8,6,1,3,0,2,6,1,19873,0.52,38217,9,642,3126,1218,75.5,44.0,0,1,0,0,0
82,151,68,23,45,70,24,23,28,14,23,21,13,4,13,10,10,9,8,34804,0.84,41433,24,2330,7183,3334,95.75,48.25,0,1,0,0,0
34,69,67,10,12,13,24,4,10,3,5,6,2,3,3,2,2,3,1,12993,0.46,28246,8,790,2099,1065,123.0,61.0,0,1,0,0,0
358,14,87,144,233,129,47,83,18,53,67,27,1,5,7,42,18,43,14,23077,2.63,8775,254,3642,37929,22571,98.5,47.75,0,1,0,0,0
118,110,66,50,50,63,31,32,27,9,32,16,24,8,6,25,5,20,3,41430,3.05,13584,79,2248,11127,5010,99.25,52.5,0,1,0,0,0
76,38,33,28,22,24,18,25,11,5,9,10,3,12,13,2,3,7,1,19915,0.97,20531,17,922,2835,1485,111.75,54.25,0,1,0,0,0
176,15,46,11,45,27,24,33,16,10,26,4,4,3,2,9,7,7,3,19212,1.12,17154,76,1812,25628,10109,108.5,54.0,0,1,0,0,0
49,80,27,21,20,35,23,18,14,3,5,12,6,7,10,3,3,6,3,23846,1.58,15092,11,981,2470,1272,114.25,54.0,0,1,0,0,0
