기간,자치구행정동명,인구,면적,인구밀도
2017,동작구 대방동,40684,1.55,26248
2017,동작구 사당1동,23872,0.79,30218
2017,동작구 사당2동,28838,2.75,10487
2017,동작구 사당3동,24967,0.92,27138
2017,동작구 사당4동,14940,0.38,39316
2017,동작구 사당5동,13316,0.57,23361
2017,동작구 상도1동,48471,1.51,32100
2017,동작구 상도2동,27549,0.98,28111
2017,동작구 상도3동,26304,0.6,43840
2017,동작구 상도4동,30357,0.75,40476
2017,동작구 신대방1동,27427,0.62,44237
2017,동작구 신대방2동,20867,1.03,20259
2017,동작구 흑석동,33532,1.68,19960
2017,마포구 공덕동,40669,1.01,40266
2017,마포구 대흥동,13891,0.88,15785
2017,마포구 도화동,23087,0.62,37237
2017,마포구 망원1동,21790,1.14,19114
2017,마포구 망원2동,20017,0.67,29876
2017,마포구 상암동,33417,8.4,3978
2017,마포구 서강동,26120,1.45,18014
2017,마포구 서교동,26580,1.65,16109
2017,마포구 성산1동,20609,0.8,25761
2017,마포구 성산2동,40566,2.07,19597
2017,마포구 신수동,21847,0.78,28009
2017,마포구 아현동,25581,0.76,33659
2017,마포구 연남동,17803,0.65,27389
2017,마포구 염리동,11388,0.43,26484
2017,마포구 용강동,22525,0.84,26815
2017,마포구 합정동,19893,1.69,11771
2017,서대문구 남가좌1동,17266,0.51,33855
2017,서대문구 남가좌2동,23238,0.77,30179
2017,서대문구 북가좌1동,19779,0.52,38037
2017,서대문구 북가좌2동,34718,0.84,41331
2017,서대문구 북아현동,17688,0.46,38452
2017,서대문구 신촌동,23309,2.63,8863
2017,서대문구 연희동,40828,3.05,13386
2017,서대문구 천연동,19365,0.97,19964
2017,서대문구 충현동,18768,1.12,16757
2017,서대문구 홍은1동,23321,1.58,14760
2017,서대문구 홍은2동,30116,2.06,14619
2017,서대문구 홍제1동,24422,1.23,19855
2017,서대문구 홍제2동,15009,1.05,14294
2017,서대문구 홍제3동,17201,0.81,21236
2017,서초구 내곡동,18872,12.68,1488
2017,서초구 반포1동,28665,1.0,28665
2017,서초구 반포2동,24506,1.35,18153
2017,서초구 반포3동,18721,1.28,14626
2017,서초구 반포4동,20443,1.43,14296
2017,서초구 반포본동,12826,1.01,12699
2017,서초구 방배1동,17293,0.7,24704
2017,서초구 방배2동,27221,1.93,14104
2017,서초구 방배3동,22584,2.4,9410
2017,서초구 방배4동,26392,0.98,26931
2017,서초구 방배본동,21805,0.67,32545
2017,서초구 서초1동,21532,1.42,15163
2017,서초구 서초2동,16766,1.24,13521
2017,서초구 서초3동,30439,2.93,10389
2017,서초구 서초4동,31285,0.88,35551
2017,서초구 양재1동,47275,5.76,8207
2017,서초구 양재2동,23836,7.58,3145
2017,서초구 잠원동,34940,1.76,19852
2017,성동구 금호1가동,13191,0.46,28676
2017,성동구 금호2.3가동,24735,0.64,38648
2017,성동구 금호4가동,14452,0.84,17205
2017,성동구 마장동,24193,1.06,22824
2017,성동구 사근동,12812,1.11,11542
2017,성동구 성수1가1동,17676,1.98,8927
2017,성동구 성수1가2동,16413,0.89,18442
2017,성동구 성수2가1동,18783,1.18,15918
2017,성동구 성수2가3동,12056,1.03,11705
2017,성동구 송정동,11987,0.68,17628
2017,성동구 옥수동,27453,1.95,14078
2017,성동구 왕십리2동,18185,0.41,44354
2017,성동구 왕십리도선동,27582,0.72,38308
2017,성동구 용답동,16687,2.32,7193
2017,성동구 응봉동,16696,0.57,29291
2017,성동구 행당1동,14387,0.59,24385
2017,성동구 행당2동,25423,0.42,60531
2017,성북구 길음1동,37797,0.79,47844
2017,성북구 길음2동,12345,0.58,21284
2017,성북구 돈암1동,16745,0.49,34173
2017,성북구 돈암2동,25269,0.48,52644
2017,성북구 동선동,16614,0.73,22759
2017,성북구 보문동,17260,0.56,30821
2017,성북구 삼선동,27082,0.92,29437
2017,성북구 석관동,34628,1.73,20016
2017,성북구 성북동,17996,2.86,6292
2017,성북구 안암동,17387,1.33,13073
2017,성북구 월곡1동,28161,0.81,34767
2017,성북구 월곡2동,20823,1.36,15311
2017,성북구 장위1동,21336,0.7,30480
2017,성북구 장위2동,18517,0.67,27637
2017,성북구 장위3동,12336,0.65,18978
2017,성북구 정릉1동,18901,0.44,42957
2017,성북구 정릉2동,24495,1.17,20936
2017,성북구 정릉3동,17366,3.71,4681
2017,성북구 정릉4동,27423,3.13,8761
2017,성북구 종암동,42926,1.46,29401
2017,송파구 가락1동,905,1.34,675
2017,송파구 가락2동,34681,0.96,36126
2017,송파구 가락본동,28251,1.13,25001
2017,송파구 거여1동,13466,0.51,26404
2017,송파구 거여2동,17915,0.53,33802
2017,송파구 마천1동,22047,0.58,38012
2017,송파구 마천2동,20857,0.89,23435
2017,송파구 문정1동,21608,0.56,38586
2017,송파구 문정2동,27540,2.2,12518
2017,송파구 방이1동,16758,0.5,33516
2017,송파구 방이2동,25600,0.8,32000
2017,송파구 삼전동,33624,0.95,35394
2017,송파구 석촌동,34670,0.95,36495
2017,송파구 송파1동,26318,0.79,33314
2017,송파구 송파2동,21474,0.53,40517
2017,송파구 오금동,38091,1.65,23085
2017,송파구 오륜동,19562,3.17,6171
2017,송파구 위례동,28253,2.55,11080
2017,송파구 잠실2동,36983,2.18,16965
2017,송파구 잠실3동,36770,1.49,24678
2017,송파구 잠실4동,30430,1.56,19506
2017,송파구 잠실6동,17430,2.79,6247
2017,송파구 잠실7동,10444,0.6,17407
2017,송파구 잠실본동,29897,0.94,31805
2017,송파구 장지동,35217,1.37,25706
2017,송파구 풍납1동,16996,0.77,22073
2017,송파구 풍납2동,25386,1.59,15966
2017,양천구 목1동,32698,1.41,23190
2017,양천구 목2동,31988,1.03,31056
2017,양천구 목3동,22212,0.53,41909
2017,양천구 목4동,27596,0.57,48414
2017,양천구 목5동,43749,1.81,24171
2017,양천구 신월1동,22927,0.65,35272
2017,양천구 신월2동,23280,0.61,38164
2017,양천구 신월3동,17649,0.87,20286
2017,양천구 신월4동,19675,0.52,37837
2017,양천구 신월5동,16066,0.69,23284
2017,양천구 신월6동,7078,0.41,17263
2017,양천구 신월7동,23153,1.19,19456
2017,양천구 신정1동,21861,0.7,31230
2017,양천구 신정2동,21261,0.52,40887
2017,양천구 신정3동,50810,2.72,18680
2017,양천구 신정4동,36483,1.01,36122
2017,양천구 신정6동,25745,0.96,26818
2017,양천구 신정7동,30787,1.21,25444
2017,영등포구 당산1동,21261,0.75,28348
2017,영등포구 당산2동,35684,1.55,23022
2017,영등포구 대림1동,16843,0.49,34373
2017,영등포구 대림2동,21811,0.55,39656
2017,영등포구 대림3동,29654,1.0,29654
2017,영등포구 도림동,22274,0.89,25027
2017,영등포구 문래동,31682,1.49,21263
2017,영등포구 신길1동,20494,0.66,31052
2017,영등포구 신길3동,17780,0.48,37042
2017,영등포구 신길4동,10712,0.35,30606
2017,영등포구 신길5동,13079,0.47,27828
2017,영등포구 신길6동,20019,0.68,29440
2017,영등포구 신길7동,17292,0.64,27019
2017,영등포구 양평1동,17194,0.88,19539
2017,영등포구 양평2동,22769,3.0,7590
2017,영등포구 여의도동,33718,8.41,4009
2017,영등포구 영등포동,24055,1.26,19091
2017,영등포구 영등포본동,25703,1.02,25199
2017,용산구 남영동,8585,1.19,7214
2017,용산구 보광동,16541,0.71,23297
2017,용산구 서빙고동,14274,2.8,5098
2017,용산구 용문동,12759,0.28,45568
2017,용산구 용산2가동,12355,1.96,6304
2017,용산구 원효로1동,15266,0.59,25875
2017,용산구 원효로2동,15233,0.71,21455
2017,용산구 이촌1동,28960,2.86,10126
2017,용산구 이촌2동,9229,1.22,7565
2017,용산구 이태원1동,8791,0.57,15423
2017,용산구 이태원2동,11014,0.86,12807
2017,용산구 청파동,21233,0.91,23333
2017,용산구 한강로동,18059,2.9,6227
2017,용산구 한남동,23705,3.01,7875
2017,용산구 효창동,9594,0.44,21805
2017,용산구 후암동,18846,0.86,21914
2017,은평구 갈현1동,25591,0.97,26382
2017,은평구 갈현2동,30907,0.96,32195
2017,은평구 구산동,33819,1.38,24507
2017,은평구 녹번동,33053,1.79,18465
2017,은평구 대조동,33362,0.85,39249
2017,은평구 불광1동,42356,3.13,13532
2017,은평구 불광2동,30208,1.38,21890
2017,은평구 수색동,13830,1.29,10721
2017,은평구 신사1동,28169,0.84,33535
2017,은평구 신사2동,22210,1.0,22210
2017,은평구 역촌동,50453,1.16,43494
2017,은평구 응암1동,26400,1.2,22000
2017,은평구 응암2동,21712,0.78,27836
2017,은평구 응암3동,26639,0.63,42284
2017,은평구 증산동,16924,0.81,20894
2017,은평구 진관동,55569,11.53,4820
2017,종로구 가회동,4657,0.54,8624
2017,종로구 교남동,10363,0.35,29609
2017,종로구 무악동,8375,0.36,23264
2017,종로구 부암동,10726,2.27,4725
2017,종로구 사직동,9717,1.23,7900
2017,종로구 삼청동,3097,1.49,2079
2017,종로구 숭인1동,6865,0.23,29848
2017,종로구 숭인2동,10140,0.35,28971
2017,종로구 이화동,8752,0.78,11221
2017,종로구 종로1.2.3.4가동,8592,2.35,3656
2017,종로구 종로5·6가동,5690,0.6,9483
2017,종로구 창신1동,6285,0.31,20274
2017,종로구 창신2동,10274,0.26,39515
2017,종로구 창신3동,7526,0.23,32722
2017,종로구 청운효자동,13606,2.57,5294
2017,종로구 평창동,19163,8.87,2160
2017,종로구 혜화동,20429,1.12,18240
2017,중구 광희동,5875,0.74,7939
2017,중구 다산동,15399,0.51,30194
2017,중구 동화동,11348,0.26,43646
2017,중구 명동,3469,0.99,3504
2017,중구 소공동,2787,0.95,2934
2017,중구 신당5동,9830,0.39,25205
2017,중구 신당동,9544,0.55,17353
2017,중구 약수동,18400,0.48,38333
2017,중구 을지로동,1786,0.6,2977
2017,중구 장충동,5648,1.36,4153
2017,중구 중림동,11575,0.48,24115
2017,중구 청구동,14999,0.34,44115
2017,중구 필동,4885,1.14,4285
2017,중구 황학동,13095,0.33,39682
2017,중구 회현동,5953,0.84,7087
2017,중랑구 망우3동,18757,0.99,18946
2017,중랑구 망우본동,32411,2.88,11254
2017,중랑구 면목2동,27057,0.73,37064
2017,중랑구 면목3.8동,27685,1.67,16578
2017,중랑구 면목4동,21098,1.11,19007
2017,중랑구 면목5동,10487,0.64,16386
2017,중랑구 면목7동,22707,0.87,26100
2017,중랑구 면목본동,36780,1.01,36416
2017,중랑구 묵1동,36269,1.2,30224
2017,중랑구 묵2동,20443,0.7,29204
2017,중랑구 상봉1동,25960,0.85,30541
2017,중랑구 상봉2동,18645,0.68,27419
2017,중랑구 신내1동,41561,2.53,16427
2017,중랑구 신내2동,23018,0.99,23251
2017,중랑구 중화1동,21179,0.68,31146
2017,중랑구 중화2동,28723,0.98,29309
2018,강남구 개포1동,7800,1.27,6142
2018,강남구 개포2동,13855,2.51,5520
2018,강남구 개포4동,18920,1.49,12698
2018,강남구 논현1동,24061,1.25,19249
2018,강남구 논현2동,22304,1.47,15173
2018,강남구 대치1동,25590,0.79,32392
2018,강남구 대치2동,40163,2.0,20082
2018,강남구 대치4동,21265,0.73,29130
2018,강남구 도곡1동,22844,1.02,22396
2018,강남구 도곡2동,34704,1.02,34024
2018,강남구 삼성1동,15252,1.94,7862
2018,강남구 삼성2동,30492,1.24,24590
2018,강남구 세곡동,45445,6.36,7145
2018,강남구 수서동,16421,1.43,11483
2018,강남구 신사동,17813,1.89,9425
2018,강남구 압구정동,28146,2.53,11125
2018,강남구 역삼1동,36861,2.35,15686
2018,강남구 역삼2동,36822,1.15,32019
2018,강남구 일원1동,17136,0.92,18626
2018,강남구 일원2동,16593,1.24,13381
2018,강남구 일원본동,24781,2.58,9605
2018,강남구 청담동,30185,2.33,12955
2018,강동구 강일동,32928,2.8,11760
2018,강동구 고덕1동,27469,1.73,15878
2018,강동구 고덕2동,7709,2.01,3835
2018,강동구 길동,47171,2.17,21738
2018,강동구 둔촌2동,28260,0.98,28837
2018,강동구 명일1동,22483,0.61,36857
2018,강동구 명일2동,18020,0.97,18577
2018,강동구 상일동,11138,2.65,4203
2018,강동구 성내1동,20996,0.58,36200
2018,강동구 성내2동,25725,0.67,38396
2018,강동구 성내3동,24155,0.71,34021
2018,강동구 암사1동,37760,1.02,37020
2018,강동구 암사2동,14711,1.18,12467
2018,강동구 암사3동,18943,2.51,7547
2018,강동구 천호1동,29144,0.71,41048
2018,강동구 천호2동,36423,1.57,23199
