기간,자치구행정동명,음료점
2015,서대문구 홍제2동,6
2015,서대문구 홍제3동,14
2015,서초구 내곡동,7
2015,서초구 반포1동,43
2015,서초구 반포2동,8
2015,서초구 반포3동,18
2015,서초구 반포4동,92
2015,서초구 반포본동,17
2015,서초구 방배1동,40
2015,서초구 방배2동,46
2015,서초구 방배3동,20
2015,서초구 방배4동,36
2015,서초구 방배본동,44
2015,서초구 서초1동,89
2015,서초구 서초2동,95
2015,서초구 서초3동,155
2015,서초구 서초4동,81
2015,서초구 양재1동,100
2015,서초구 양재2동,85
2015,서초구 잠원동,46
2015,성동구 금호1가동,9
2015,성동구 금호2.3가동,15
2015,성동구 금호4가동,10
2015,성동구 마장동,17
2015,성동구 사근동,66
2015,성동구 성수1가1동,11
2015,성동구 성수1가2동,43
2015,성동구 성수2가1동,33
2015,성동구 성수2가3동,55
2015,성동구 송정동,5
2015,성동구 옥수동,16
2015,성동구 왕십리2동,4
2015,성동구 왕십리도선동,31
2015,성동구 용답동,17
2015,성동구 응봉동,7
2015,성동구 행당1동,41
2015,성동구 행당2동,12
2015,성북구 길음1동,20
2015,성북구 길음2동,18
2015,성북구 돈암1동,3
2015,성북구 돈암2동,3
2015,성북구 동선동,70
2015,성북구 보문동,8
2015,성북구 삼선동,46
2015,성북구 석관동,27
2015,성북구 성북동,33
2015,성북구 안암동,83
2015,성북구 월곡1동,14
2015,성북구 월곡2동,35
2015,성북구 장위1동,10
2015,성북구 장위2동,11
2015,성북구 장위3동,6
2015,성북구 정릉1동,7
2015,성북구 정릉2동,12
2015,성북구 정릉3동,14
2015,성북구 정릉4동,14
2015,성북구 종암동,22
2015,송파구 가락1동,1
2015,송파구 가락2동,29
2015,송파구 가락본동,63
2015,송파구 거여1동,14
2015,송파구 거여2동,16
2015,송파구 마천1동,11
2015,송파구 마천2동,13
2015,송파구 문정1동,28
2015,송파구 문정2동,37
2015,송파구 방이1동,34
2015,송파구 방이2동,46
2015,송파구 삼전동,28
2015,송파구 석촌동,40
2015,송파구 송파1동,39
2015,송파구 송파2동,26
2015,송파구 오금동,45
2015,송파구 오륜동,15
2015,송파구 위례동,3
2015,송파구 잠실2동,22
2015,송파구 잠실3동,42
2015,송파구 잠실4동,8
2015,송파구 잠실6동,66
2015,송파구 잠실7동,4
2015,송파구 잠실본동,61
2015,송파구 장지동,27
2015,송파구 풍납1동,7
2015,송파구 풍납2동,21
2015,양천구 목1동,78
2015,양천구 목2동,21
2015,양천구 목3동,16
2015,양천구 목4동,21
2015,양천구 목5동,30
2015,양천구 신월1동,8
2015,양천구 신월2동,9
2015,양천구 신월3동,10
2015,양천구 신월4동,15
2015,양천구 신월5동,14
2015,양천구 신월6동,2
2015,양천구 신월7동,10
2015,양천구 신정1동,23
2015,양천구 신정2동,14
2015,양천구 신정3동,18
2015,양천구 신정4동,49
2015,양천구 신정6동,9
2015,양천구 신정7동,11
2015,영등포구 당산1동,51
2015,영등포구 당산2동,52
2015,영등포구 대림1동,10
2015,영등포구 대림2동,13
2015,영등포구 대림3동,21
2015,영등포구 도림동,8
2015,영등포구 문래동,60
2015,영등포구 신길1동,11
2015,영등포구 신길3동,9
2015,영등포구 신길4동,3
2015,영등포구 신길5동,9
2015,영등포구 신길6동,27
2015,영등포구 신길7동,12
2015,영등포구 양평1동,32
2015,영등포구 양평2동,40
2015,영등포구 여의동,246
2015,영등포구 영등포동,103
2015,영등포구 영등포본동,26
2015,용산구 남영동,47
2015,용산구 보광동,9
2015,용산구 서빙고동,7
2015,용산구 용문동,12
2015,용산구 용산2가동,20
2015,용산구 원효로1동,27
2015,용산구 원효로2동,10
2015,용산구 이촌1동,24
2015,용산구 이촌2동,4
2015,용산구 이태원1동,50
2015,용산구 이태원2동,46
2015,용산구 청파동,63
2015,용산구 한강로동,88
2015,용산구 한남동,69
2015,용산구 효창동,14
2015,용산구 후암동,20
2015,은평구 갈현1동,25
2015,은평구 갈현2동,36
2015,은평구 구산동,17
2015,은평구 녹번동,25
2015,은평구 대조동,55
2015,은평구 불광1동,28
2015,은평구 불광2동,15
2015,은평구 수색동,7
2015,은평구 신사1동,21
2015,은평구 신사2동,7
2015,은평구 역촌동,35
2015,은평구 응암1동,26
2015,은평구 응암2동,5
2015,은평구 응암3동,19
2015,은평구 증산동,11
2015,은평구 진관동,38
2015,종로구 가회동,52
2015,종로구 교남동,6
2015,종로구 무악동,5
2015,종로구 부암동,33
2015,종로구 사직동,141
2015,종로구 삼청동,76
2015,종로구 숭인1동,2
2015,종로구 숭인2동,22
2015,종로구 이화동,81
2015,종로구 종로1.2.3.4가동,368
2015,종로구 종로5·6가동,71
2015,종로구 창신1동,15
2015,종로구 창신2동,6
2015,종로구 창신3동,4
2015,종로구 청운효자동,56
2015,종로구 평창동,17
2015,종로구 혜화동,111
2015,중구 광희동,86
2015,중구 다산동,18
2015,중구 동화동,8
2015,중구 명동,256
2015,중구 소공동,141
2015,중구 신당5동,8
2015,중구 신당동,39
2015,중구 약수동,14
2015,중구 을지로동,77
2015,중구 장충동,15
2015,중구 중림동,26
2015,중구 청구동,11
2015,중구 필동,73
2015,중구 황학동,21
2015,중구 회현동,107
2015,중랑구 망우3동,5
2015,중랑구 망우본동,31
2015,중랑구 면목2동,19
2015,중랑구 면목3.8동,23
2015,중랑구 면목4동,8
2015,중랑구 면목5동,4
2015,중랑구 면목7동,12
2015,중랑구 면목본동,19
2015,중랑구 묵1동,25
2015,중랑구 묵2동,14
2015,중랑구 상봉1동,24
2015,중랑구 상봉2동,28
2015,중랑구 신내1동,20
2015,중랑구 신내2동,13
2015,중랑구 중화1동,13
2015,중랑구 중화2동,18
2016,강남구 개포1동,5
2016,강남구 개포2동,13
2016,강남구 개포4동,31
2016,강남구 논현1동,111
2016,강남구 논현2동,130
2016,강남구 대치1동,27
2016,강남구 대치2동,90
2016,강남구 대치4동,109
2016,강남구 도곡1동,46
2016,강남구 도곡2동,44
2016,강남구 삼성1동,119
2016,강남구 삼성2동,86
2016,강남구 세곡동,20
2016,강남구 수서동,24
2016,강남구 신사동_강남,142
2016,강남구 압구정동,98
2016,강남구 역삼1동,412
2016,강남구 역삼2동,86
2016,강남구 일원1동,18
2016,강남구 일원2동,11
2016,강남구 일원본동,11
2016,강남구 청담동,96
2016,강동구 강일동,19
2016,강동구 고덕1동,6
2016,강동구 고덕2동,4
2016,강동구 길동,63
2016,강동구 둔촌2동,31
2016,강동구 명일1동,47
2016,강동구 명일2동,27
2016,강동구 상일동,16
2016,강동구 성내1동,48
2016,강동구 성내2동,36
2016,강동구 성내3동,57
2016,강동구 암사1동,22
2016,강동구 암사2동,17
2016,강동구 암사3동,6
2016,강동구 천호1동,21
2016,강동구 천호2동,61
2016,강동구 천호3동,33
2016,강북구 미아동,30
2016,강북구 번1동,31
2016,강북구 번2동,5
2016,강북구 번3동,11
2016,강북구 삼각산동,19
2016,강북구 삼양동,10
2016,강북구 송중동,37
2016,강북구 송천동,30
2016,강북구 수유1동,18
2016,강북구 수유2동,11
2016,강북구 수유3동,36
2016,강북구 우이동,34
2016,강북구 인수동,29
2016,강서구 가양1동,43
2016,강서구 가양2동,5
2016,강서구 가양3동,6
2016,강서구 공항동,29
2016,강서구 등촌1동,41
2016,강서구 등촌2동,17
2016,강서구 등촌3동,59
2016,강서구 발산1동,29
2016,강서구 방화1동,42
2016,강서구 방화2동,35
2016,강서구 방화3동,16
2016,강서구 염창동,40
2016,강서구 우장산동,28
2016,강서구 화곡1동,45
2016,강서구 화곡2동,7
2016,강서구 화곡3동,29
2016,강서구 화곡4동,20
2016,강서구 화곡6동,29
2016,강서구 화곡8동,19
2016,강서구 화곡본동,15
2016,관악구 낙성대동,44
2016,관악구 난곡동,10
2016,관악구 난향동,5
2016,관악구 남현동,18
2016,관악구 대학동,68
2016,관악구 미성동,16
2016,관악구 보라매동,21
2016,관악구 삼성동,3
2016,관악구 서림동,20
2016,관악구 서원동,41
2016,관악구 성현동,11
2016,관악구 신림동,39
2016,관악구 신사동_관악,13
2016,관악구 신원동,9
2016,관악구 은천동,20
2016,관악구 인헌동,24
2016,관악구 조원동,23
2016,관악구 중앙동,27
2016,관악구 청룡동,46
2016,관악구 청림동,7
2016,관악구 행운동,30
2016,광진구 광장동,34
2016,광진구 구의1동,38
2016,광진구 구의2동,23
2016,광진구 구의3동,43
2016,광진구 군자동,49
2016,광진구 능동,21
2016,광진구 자양1동,29
2016,광진구 자양2동,24
2016,광진구 자양3동,44
2016,광진구 자양4동,45
2016,광진구 중곡1동,21
2016,광진구 중곡2동,19
2016,광진구 중곡3동,25
2016,광진구 중곡4동,26
2016,광진구 화양동,105
2016,구로구 가리봉동,7
2016,구로구 개봉1동,28
2016,구로구 개봉2동,20
2016,구로구 개봉3동,17
2016,구로구 고척1동,34
2016,구로구 고척2동,19
2016,구로구 구로1동,8
2016,구로구 구로2동,51
2016,구로구 구로3동,112
2016,구로구 구로4동,19
2016,구로구 구로5동,48
2016,구로구 수궁동,19
2016,구로구 신도림동,51
2016,구로구 오류1동,17
2016,구로구 오류2동,23
2016,금천구 가산동,173
2016,금천구 독산1동,42
2016,금천구 독산2동,7
2016,금천구 독산3동,16
2016,금천구 독산4동,14
2016,금천구 시흥1동,42
2016,금천구 시흥2동,7
2016,금천구 시흥3동,10
2016,금천구 시흥4동,12
2016,금천구 시흥5동,15
2016,노원구 공릉1동,50
2016,노원구 공릉2동,67
2016,노원구 상계10동,7
2016,노원구 상계1동,42
2016,노원구 상계2동,63
2016,노원구 상계3.4동,15
2016,노원구 상계5동,23
2016,노원구 상계6.7동,32
2016,노원구 상계8동,6
2016,노원구 상계9동,5
2016,노원구 월계1동,36
2016,노원구 월계2동,13
2016,노원구 월계3동,13
2016,노원구 중계1동,19
2016,노원구 중계2.3동,24
2016,노원구 중계4동,20
2016,노원구 중계본동,31
2016,노원구 하계1동,21
2016,노원구 하계2동,2
2016,도봉구 도봉1동,23
2016,도봉구 도봉2동,20
2016,도봉구 방학1동,28
2016,도봉구 방학2동,10
2016,도봉구 방학3동,12
2016,도봉구 쌍문1동,25
2016,도봉구 쌍문2동,16
2016,도봉구 쌍문3동,10
2016,도봉구 쌍문4동,10
2016,도봉구 창1동,16
2016,도봉구 창2동,10
2016,도봉구 창3동,11
2016,도봉구 창4동,15
2016,도봉구 창5동,33
2016,동대문구 답십리1동,26
2016,동대문구 답십리2동,10
2016,동대문구 용신동,80
2016,동대문구 이문1동,59
2016,동대문구 이문2동,11
2016,동대문구 장안1동,44
2016,동대문구 장안2동,40
2016,동대문구 전농1동,46
2016,동대문구 전농2동,19
2016,동대문구 제기동,37
2016,동대문구 청량리동,27
2016,동대문구 회기동,67
2016,동대문구 휘경1동,26
2016,동대문구 휘경2동,17
2016,동작구 노량진1동,101
2016,동작구 노량진2동,33
2016,동작구 대방동,27
2016,동작구 사당1동,41
2016,동작구 사당2동,45
2016,동작구 사당3동,16
2016,동작구 사당4동,6
2016,동작구 사당5동,8
2016,동작구 상도1동,64
2016,동작구 상도2동,23
2016,동작구 상도3동,13
2016,동작구 상도4동,21
2016,동작구 신대방1동,17
2016,동작구 신대방2동,41
2016,동작구 흑석동,45
2016,마포구 공덕동,55
2016,마포구 대흥동,52
2016,마포구 도화동,49
2016,마포구 망원1동,49
2016,마포구 망원2동,39
2016,마포구 상암동,122
2016,마포구 서강동,96
2016,마포구 서교동,514
2016,마포구 성산1동,35
2016,마포구 성산2동,33
2016,마포구 신수동,23
2016,마포구 아현동,25
2016,마포구 연남동,87
2016,마포구 염리동,27
2016,마포구 용강동,47
2016,마포구 합정동,81
2016,서대문구 남가좌1동,6
2016,서대문구 남가좌2동,32
2016,서대문구 북가좌1동,9
2016,서대문구 북가좌2동,24
2016,서대문구 북아현동,8
2016,서대문구 신촌동,254
2016,서대문구 연희동,79
2016,서대문구 천연동,17
2016,서대문구 충현동,76
2016,서대문구 홍은1동,11
2016,서대문구 홍은2동,31
2016,서대문구 홍제1동,17
2016,서대문구 홍제2동,6
2016,서대문구 홍제3동,21
2016,서초구 내곡동,11
2016,서초구 반포1동,34
2016,서초구 반포2동,11
2016,서초구 반포3동,18
2016,서초구 반포4동,101
2016,서초구 반포본동,21
2016,서초구 방배1동,49
2016,서초구 방배2동,49
2016,서초구 방배3동,21
2016,서초구 방배4동,45
2016,서초구 방배본동,46
2016,서초구 서초1동,97
2016,서초구 서초2동,93
2016,서초구 서초3동,158
2016,서초구 서초4동,77
2016,서초구 양재1동,112
2016,서초구 양재2동,88
2016,서초구 잠원동,45
2016,성동구 금호1가동,9
2016,성동구 금호2.3가동,22
2016,성동구 금호4가동,9
2016,성동구 마장동,18
2016,성동구 사근동,68
2016,성동구 성수1가1동,15
2016,성동구 성수1가2동,57
2016,성동구 성수2가1동,36
2016,성동구 성수2가3동,63
2016,성동구 송정동,6
2016,성동구 옥수동,18
2016,성동구 왕십리2동,5
2016,성동구 왕십리도선동,36
2016,성동구 용답동,22
2016,성동구 응봉동,8
2016,성동구 행당1동,40
2016,성동구 행당2동,13
2016,성북구 길음1동,23
2016,성북구 길음2동,21
2016,성북구 돈암1동,8
2016,성북구 돈암2동,7
2016,성북구 동선동,90
2016,성북구 보문동,10
2016,성북구 삼선동,52
2016,성북구 석관동,29
2016,성북구 성북동,39
2016,성북구 안암동,81
2016,성북구 월곡1동,12
2016,성북구 월곡2동,44
2016,성북구 장위1동,10
2016,성북구 장위2동,12
2016,성북구 장위3동,5
2016,성북구 정릉1동,7
2016,성북구 정릉2동,17
2016,성북구 정릉3동,13
2016,성북구 정릉4동,15
2016,성북구 종암동,30
2016,송파구 가락1동,2
2016,송파구 가락2동,37
2016,송파구 가락본동,61
2016,송파구 거여1동,17
2016,송파구 거여2동,13
2016,송파구 마천1동,11
2016,송파구 마천2동,15
2016,송파구 문정1동,35
2016,송파구 문정2동,66
2016,송파구 방이1동,42
2016,송파구 방이2동,57
2016,송파구 삼전동,36
2016,송파구 석촌동,56
2016,송파구 송파1동,46
2016,송파구 송파2동,26
2016,송파구 오금동,56
2016,송파구 오륜동,12
2016,송파구 위례동,11
2016,송파구 잠실2동,22
2016,송파구 잠실3동,44
2016,송파구 잠실4동,9
2016,송파구 잠실6동,67
2016,송파구 잠실7동,5
2016,송파구 잠실본동,67
2016,송파구 장지동,29
2016,송파구 풍납1동,8
2016,송파구 풍납2동,17
2016,양천구 목1동,88
2016,양천구 목2동,23
2016,양천구 목3동,20
2016,양천구 목4동,28
2016,양천구 목5동,30
2016,양천구 신월1동,10
2016,양천구 신월2동,10
2016,양천구 신월3동,10
2016,양천구 신월4동,14
2016,양천구 신월5동,17
2016,양천구 신월6동,2
2016,양천구 신월7동,10
2016,양천구 신정1동,27
2016,양천구 신정2동,19
2016,양천구 신정3동,18
2016,양천구 신정4동,52
2016,양천구 신정6동,10
2016,양천구 신정7동,16
2016,영등포구 당산1동,70
2016,영등포구 당산2동,65
2016,영등포구 대림1동,9
2016,영등포구 대림2동,12
2016,영등포구 대림3동,22
2016,영등포구 도림동,11
2016,영등포구 문래동,69
2016,영등포구 신길1동,17
2016,영등포구 신길3동,10
2016,영등포구 신길4동,5
2016,영등포구 신길5동,7
2016,영등포구 신길6동,24
2016,영등포구 신길7동,15
2016,영등포구 양평1동,34
2016,영등포구 양평2동,49
2016,영등포구 여의동,279
2016,영등포구 영등포동,107
2016,영등포구 영등포본동,29
2016,용산구 남영동,51
2016,용산구 보광동,13
2016,용산구 서빙고동,7
2016,용산구 용문동,13
2016,용산구 용산2가동,31
2016,용산구 원효로1동,40
2016,용산구 원효로2동,13
2016,용산구 이촌1동,24
2016,용산구 이촌2동,6
2016,용산구 이태원1동,45
2016,용산구 이태원2동,54
2016,용산구 청파동,72
2016,용산구 한강로동,106
2016,용산구 한남동,75
2016,용산구 효창동,16
2016,용산구 후암동,22
2016,은평구 갈현1동,30
2016,은평구 갈현2동,42
2016,은평구 구산동,18
2016,은평구 녹번동,26
2016,은평구 대조동,57
2016,은평구 불광1동,30
2016,은평구 불광2동,19
2016,은평구 수색동,6
2016,은평구 신사1동,23
2016,은평구 신사2동,9
2016,은평구 역촌동,43
2016,은평구 응암1동,29
2016,은평구 응암2동,9
2016,은평구 응암3동,24
2016,은평구 증산동,14
2016,은평구 진관동,50
2016,종로구 가회동,51
2016,종로구 교남동,8
2016,종로구 무악동,5
2016,종로구 부암동,33
2016,종로구 사직동,136
2016,종로구 삼청동,77
2016,종로구 숭인1동,2
2016,종로구 숭인2동,26
2016,종로구 이화동,84
2016,종로구 종로1.2.3.4가동,378
2016,종로구 종로5·6가동,80
2016,종로구 창신1동,14
2016,종로구 창신2동,7
2016,종로구 창신3동,4
2016,종로구 청운효자동,62
2016,종로구 평창동,20
2016,종로구 혜화동,111
2016,중구 광희동,104
2016,중구 다산동,19
2016,중구 동화동,15
2016,중구 명동,252
2016,중구 소공동,137
2016,중구 신당5동,10
2016,중구 신당동,35
2016,중구 약수동,14
2016,중구 을지로동,81
2016,중구 장충동,18
2016,중구 중림동,26
2016,중구 청구동,16
2016,중구 필동,78
2016,중구 황학동,17
2016,중구 회현동,110
2016,중랑구 망우3동,10
2016,중랑구 망우본동,38
2016,중랑구 면목2동,16
2016,중랑구 면목3.8동,29
2016,중랑구 면목4동,9
2016,중랑구 면목5동,3
2016,중랑구 면목7동,19
2016,중랑구 면목본동,20
2016,중랑구 묵1동,28
2016,중랑구 묵2동,16
2016,중랑구 상봉1동,28
2016,중랑구 상봉2동,34
2016,중랑구 신내1동,25
2016,중랑구 신내2동,14
2016,중랑구 중화1동,12
2016,중랑구 중화2동,21
2017,강남구 개포1동,4
2017,강남구 개포2동,16
2017,강남구 개포4동,34
2017,강남구 논현1동,108
2017,강남구 논현2동,141
2017,강남구 대치1동,25
2017,강남구 대치2동,95
2017,강남구 대치4동,114
2017,강남구 도곡1동,47
2017,강남구 도곡2동,38
2017,강남구 삼성1동,121
2017,강남구 삼성2동,73
2017,강남구 세곡동,23
2017,강남구 수서동,27
2017,강남구 신사동_강남,138
2017,강남구 압구정동,104
2017,강남구 역삼1동,382
2017,강남구 역삼2동,102
2017,강남구 일원1동,21
2017,강남구 일원2동,10
2017,강남구 일원본동,13
2017,강남구 청담동,96
2017,강동구 강일동,12
2017,강동구 고덕1동,10
2017,강동구 고덕2동,6
2017,강동구 길동,64
2017,강동구 둔촌2동,34
2017,강동구 명일1동,50
2017,강동구 명일2동,20
2017,강동구 상일동,19
2017,강동구 성내1동,55
2017,강동구 성내2동,39
2017,강동구 성내3동,53
2017,강동구 암사1동,24
2017,강동구 암사2동,17
2017,강동구 암사3동,7
2017,강동구 천호1동,24
2017,강동구 천호2동,57
2017,강동구 천호3동,29
2017,강북구 미아동,33
2017,강북구 번1동,34
2017,강북구 번2동,8
2017,강북구 번3동,12
2017,강북구 삼각산동,18
2017,강북구 삼양동,9
2017,강북구 송중동,38
2017,강북구 송천동,25
2017,강북구 수유1동,20
2017,강북구 수유2동,10
2017,강북구 수유3동,45
2017,강북구 우이동,38
2017,강북구 인수동,30
2017,강서구 가양1동,114
2017,강서구 가양2동,6
2017,강서구 가양3동,6
2017,강서구 공항동,37
2017,강서구 등촌1동,43
2017,강서구 등촌2동,20
2017,강서구 등촌3동,52
2017,강서구 발산1동,34
2017,강서구 방화1동,53
2017,강서구 방화2동,39
2017,강서구 방화3동,14
2017,강서구 염창동,40
2017,강서구 우장산동,29
2017,강서구 화곡1동,46
2017,강서구 화곡2동,7
2017,강서구 화곡3동,27
2017,강서구 화곡4동,22
2017,강서구 화곡6동,33
2017,강서구 화곡8동,18
2017,강서구 화곡본동,16
2017,관악구 낙성대동,53
2017,관악구 난곡동,9
2017,관악구 난향동,5
2017,관악구 남현동,16
2017,관악구 대학동,72
2017,관악구 미성동,20
2017,관악구 보라매동,21
2017,관악구 삼성동,4
2017,관악구 서림동,21
2017,관악구 서원동,39
2017,관악구 성현동,13
2017,관악구 신림동,39
2017,관악구 신사동_관악,16
2017,관악구 신원동,12
2017,관악구 은천동,22
2017,관악구 인헌동,27
2017,관악구 조원동,31
2017,관악구 중앙동,27
2017,관악구 청룡동,44
2017,관악구 청림동,9
2017,관악구 행운동,29
2017,광진구 광장동,36
2017,광진구 구의1동,32
2017,광진구 구의2동,23
2017,광진구 구의3동,45
2017,광진구 군자동,45
2017,광진구 능동,20
2017,광진구 자양1동,28
2017,광진구 자양2동,20
2017,광진구 자양3동,38
2017,광진구 자양4동,43
2017,광진구 중곡1동,20
2017,광진구 중곡2동,19
2017,광진구 중곡3동,25
2017,광진구 중곡4동,26
2017,광진구 화양동,109
2017,구로구 가리봉동,5
2017,구로구 개봉1동,25
2017,구로구 개봉2동,20
2017,구로구 개봉3동,16
2017,구로구 고척1동,32
2017,구로구 고척2동,19
2017,구로구 구로1동,11
2017,구로구 구로2동,47
2017,구로구 구로3동,114
2017,구로구 구로4동,23
2017,구로구 구로5동,51
2017,구로구 수궁동,20
2017,구로구 신도림동,51
2017,구로구 오류1동,16
2017,구로구 오류2동,18
2017,금천구 가산동,174
2017,금천구 독산1동,41
2017,금천구 독산2동,9
2017,금천구 독산3동,18
2017,금천구 독산4동,16
2017,금천구 시흥1동,41
2017,금천구 시흥2동,10
2017,금천구 시흥3동,9
2017,금천구 시흥4동,6
2017,금천구 시흥5동,14
2017,노원구 공릉1동,51
2017,노원구 공릉2동,61
2017,노원구 상계10동,7
2017,노원구 상계1동,44
