,기간,자치구행정동명,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,서울운영평균,서울시폐업평균
77,2015,관악구 미성동,13,1585,6428,3088,99.5,49.5,94.75,47.0
78,2015,관악구 보라매동,21,1421,7131,3808,86.75,48.0,94.75,47.0
79,2015,관악구 삼성동,1,1051,2390,1186,115.5,53.25,94.75,47.0
80,2015,관악구 서림동,16,904,2663,1104,92.25,49.75,94.75,47.0
81,2015,관악구 서원동,42,1302,7677,4071,93.75,50.0,94.75,47.0
82,2015,관악구 성현동,5,835,2692,1449,87.75,43.5,94.75,47.0
83,2015,관악구 신림동,33,1634,5899,3018,92.25,44.0,94.75,47.0
84,2015,관악구 신사동_관악,13,1428,4470,2245,90.0,45.25,94.75,47.0
85,2015,관악구 신원동,8,829,2430,1360,93.75,48.75,94.75,47.0
86,2015,관악구 은천동,19,1643,7623,3574,95.0,45.0,94.75,47.0
87,2015,관악구 인헌동,25,1094,4637,2359,92.25,46.5,94.75,47.0
88,2015,관악구 조원동,24,2066,7075,3155,102.0,43.0,94.75,47.0
89,2015,관악구 중앙동,19,1465,6107,2687,100.0,46.5,94.75,47.0
90,2015,관악구 청룡동,31,1909,12196,4782,93.5,46.0,94.75,47.0
91,2015,관악구 청림동,8,442,1187,691,98.5,48.5,94.75,47.0
92,2015,관악구 행운동,29,1427,5866,2985,100.5,47.5,94.75,47.0
93,2015,광진구 광장동,32,1375,10901,5014,83.5,49.25,94.75,47.0
94,2015,광진구 구의1동,41,1894,7100,2935,96.0,45.75,94.75,47.0
95,2015,광진구 구의2동,24,1240,5035,2241,98.0,50.5,94.75,47.0
96,2015,광진구 구의3동,40,2618,17302,6020,98.0,49.0,94.75,47.0
97,2015,광진구 군자동,39,1595,9606,4491,95.25,46.5,94.75,47.0
98,2015,광진구 능동,22,740,5680,3025,92.0,48.0,94.75,47.0
99,2015,광진구 자양1동,23,1743,9053,3669,95.25,46.25,94.75,47.0
100,2015,광진구 자양2동,26,1496,7978,3327,95.25,45.75,94.75,47.0
101,2015,광진구 자양3동,38,1310,5908,3195,81.75,46.0,94.75,47.0
102,2015,광진구 자양4동,34,1993,7067,2844,92.5,46.75,94.75,47.0
103,2015,광진구 중곡1동,17,1623,6630,2596,99.5,45.5,94.75,47.0
104,2015,광진구 중곡2동,17,1666,7315,3563,92.0,44.0,94.75,47.0
105,2015,광진구 중곡3동,19,1344,4807,2317,93.25,44.5,94.75,47.0
106,2015,광진구 중곡4동,25,1515,4786,2125,96.0,46.75,94.75,47.0
107,2015,광진구 화양동,94,2379,14521,7048,83.0,45.0,94.75,47.0
108,2015,구로구 가리봉동,8,946,3743,1412,111.25,46.5,94.75,47.0
109,2015,구로구 개봉1동,23,1706,5415,2548,91.75,48.25,94.75,47.0
110,2015,구로구 개봉2동,15,1131,3016,1638,96.25,49.25,94.75,47.0
111,2015,구로구 개봉3동,15,992,4194,1877,107.25,45.0,94.75,47.0
112,2015,구로구 고척1동,24,2553,9154,3732,92.5,48.5,94.75,47.0
113,2015,구로구 고척2동,19,1423,3923,1975,97.5,48.0,94.75,47.0
114,2015,구로구 구로1동,8,722,3135,1531,102.25,47.0,94.75,47.0
115,2015,구로구 구로2동,41,7860,31582,13034,99.75,46.5,94.75,47.0
116,2015,구로구 구로3동,107,6797,82378,30763,71.75,44.5,94.75,47.0
117,2015,구로구 구로4동,19,1996,5334,2801,95.0,44.75,94.75,47.0
118,2015,구로구 구로5동,46,4812,25833,11823,78.75,44.0,94.75,47.0
119,2015,구로구 수궁동,14,1199,5691,2025,93.5,48.5,94.75,47.0
120,2015,구로구 신도림동,44,2699,14948,6959,71.75,45.0,94.75,47.0
121,2015,구로구 오류1동,12,1091,4783,2279,101.25,50.75,94.75,47.0
122,2015,구로구 오류2동,21,1518,7377,3029,80.25,47.75,94.75,47.0
123,2015,금천구 가산동,146,13045,151398,51722,67.25,42.5,94.75,47.0
124,2015,금천구 독산1동,32,3866,24185,8813,89.0,49.0,94.75,47.0
125,2015,금천구 독산2동,9,1162,3287,1499,92.5,46.25,94.75,47.0
126,2015,금천구 독산3동,11,2189,8294,3543,96.5,43.0,94.75,47.0
127,2015,금천구 독산4동,14,989,3598,1755,98.75,45.5,94.75,47.0
128,2015,금천구 시흥1동,44,2905,14578,7023,101.0,48.0,94.75,47.0
129,2015,금천구 시흥2동,8,563,1844,1080,81.0,48.0,94.75,47.0
130,2015,금천구 시흥3동,8,3360,10475,2775,116.25,50.0,94.75,47.0
131,2015,금천구 시흥4동,12,847,1921,1051,94.0,44.0,94.75,47.0
132,2015,금천구 시흥5동,12,1154,3478,1711,99.0,46.25,94.75,47.0
133,2015,노원구 공릉1동,42,2705,11864,5840,96.75,48.0,94.75,47.0
134,2015,노원구 공릉2동,58,1884,11972,5653,83.25,45.0,94.75,47.0
135,2015,노원구 상계10동,8,458,2116,930,86.25,46.0,94.75,47.0
136,2015,노원구 상계1동,39,3018,9674,4186,80.0,43.5,94.75,47.0
137,2015,노원구 상계2동,63,2456,9735,5721,79.0,41.75,94.75,47.0
138,2015,노원구 상계3.4동,15,1635,5226,2399,102.5,48.0,94.75,47.0
139,2015,노원구 상계5동,16,1353,3723,2098,96.25,44.0,94.75,47.0
140,2015,노원구 상계6.7동,25,1889,16046,9892,91.5,44.0,94.75,47.0
141,2015,노원구 상계8동,6,558,1949,1219,92.75,55.25,94.75,47.0
142,2015,노원구 상계9동,2,696,2459,1377,97.75,47.0,94.75,47.0
143,2015,노원구 월계1동,38,1421,5453,2191,89.75,49.25,94.75,47.0
144,2015,노원구 월계2동,9,971,3439,1498,84.5,47.25,94.75,47.0
145,2015,노원구 월계3동,13,945,3588,1849,86.5,44.75,94.75,47.0
146,2015,노원구 중계1동,20,940,4171,2355,83.5,45.25,94.75,47.0
147,2015,노원구 중계2.3동,23,1345,5351,3134,83.75,47.0,94.75,47.0
148,2015,노원구 중계4동,16,1037,3850,2126,82.5,43.0,94.75,47.0
