,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
67,2015,강서구 화곡3동,83,75,43,23,41,49,15,18,17,15,10,10,2,3,9,1,8,12,8
68,2015,강서구 화곡4동,100,115,35,44,57,55,22,20,17,28,13,12,8,20,16,7,3,4,8
69,2015,강서구 화곡6동,169,90,48,26,122,43,21,19,17,36,23,11,8,8,8,13,9,3,9
70,2015,강서구 화곡8동,70,106,61,37,34,52,17,23,17,11,8,13,2,11,14,3,3,9,2
71,2015,강서구 화곡본동,91,131,53,24,54,41,29,21,22,12,15,16,5,8,12,7,7,6,3
72,2015,관악구 낙성대동,136,35,32,11,101,33,23,29,11,21,14,10,10,5,10,7,8,4,5
73,2015,관악구 난곡동,26,111,23,12,21,44,32,17,15,9,12,8,8,8,7,3,4,7,6
74,2015,관악구 난향동,11,56,15,3,6,15,11,8,8,1,2,5,0,2,5,2,1,3,1
75,2015,관악구 남현동,80,39,22,23,50,25,7,11,12,12,19,11,7,6,7,6,1,7,4
76,2015,관악구 대학동,176,53,35,7,64,46,29,48,23,26,29,23,0,3,6,16,12,8,31
77,2015,관악구 미성동,70,158,33,56,33,50,27,19,22,11,15,15,15,8,13,6,4,7,2
78,2015,관악구 보라매동,101,76,35,182,39,49,19,16,19,16,10,12,2,8,11,8,4,10,3
79,2015,관악구 삼성동,57,117,29,35,18,34,30,8,20,5,3,6,8,20,13,5,1,3,0
80,2015,관악구 서림동,69,60,26,8,17,23,27,11,19,6,15,11,4,3,7,8,3,4,9
81,2015,관악구 서원동,143,53,34,83,108,33,24,24,13,27,19,8,6,1,4,8,9,10,10
82,2015,관악구 성현동,17,78,33,7,12,35,15,7,12,2,7,6,8,6,6,6,3,3,3
83,2015,관악구 신림동,154,26,76,68,140,51,23,32,20,48,32,8,5,8,6,8,9,4,13
84,2015,관악구 신사동,79,76,59,28,44,65,27,32,29,18,20,14,14,12,15,18,6,4,6
85,2015,관악구 신원동,63,39,29,24,30,34,19,19,10,9,6,9,3,21,15,7,1,3,5
86,2015,관악구 은천동,114,113,56,22,60,50,23,21,23,14,19,18,22,4,10,8,6,9,3
87,2015,관악구 인헌동,65,77,41,33,31,40,23,26,22,19,16,13,2,15,10,8,4,6,5
88,2015,관악구 조원동,138,362,51,36,75,48,37,14,15,32,9,11,27,9,11,16,7,6,8
89,2015,관악구 중앙동,84,51,45,20,52,38,17,8,13,6,9,10,9,1,3,4,3,6,4
90,2015,관악구 청룡동,153,61,85,94,70,75,23,32,27,20,28,20,5,16,12,11,9,13,10
91,2015,관악구 청림동,16,39,25,6,14,19,10,6,9,2,4,4,1,7,4,2,0,3,2
92,2015,관악구 행운동,88,59,49,49,52,62,25,21,21,12,21,14,6,10,8,4,5,9,4
93,2015,광진구 광장동,70,29,63,21,23,31,24,23,15,5,16,10,4,4,7,5,3,13,2
94,2015,광진구 구의1동,154,72,75,33,81,49,23,30,22,45,24,14,4,7,7,9,7,9,7
95,2015,광진구 구의2동,91,111,35,26,27,35,18,18,17,10,12,11,6,5,9,5,3,6,7
96,2015,광진구 구의3동,145,51,64,104,50,49,36,35,24,17,18,14,6,1,4,11,7,16,6
97,2015,광진구 군자동,104,70,44,24,74,42,21,28,20,22,18,15,10,5,11,10,7,11,8
98,2015,광진구 능동,55,24,27,10,27,12,20,9,6,18,15,5,3,1,4,0,3,5,1
99,2015,광진구 자양1동,122,85,61,59,32,54,23,16,16,18,17,11,11,26,20,10,8,6,8
100,2015,광진구 자양2동,75,119,54,16,39,49,26,17,23,15,13,9,6,4,5,4,4,6,6
101,2015,광진구 자양3동,72,97,59,63,15,39,14,18,21,4,15,10,4,1,6,5,4,21,0
102,2015,광진구 자양4동,165,106,51,92,68,60,24,28,18,46,19,17,8,23,19,53,11,8,13
103,2015,광진구 중곡1동,92,59,44,25,65,38,26,16,10,18,14,10,15,14,16,4,6,5,3
104,2015,광진구 중곡2동,96,84,57,29,39,56,20,17,19,22,15,3,11,6,8,4,4,5,4
105,2015,광진구 중곡3동,82,80,40,19,54,44,23,16,16,15,12,7,8,3,6,4,4,7,5
106,2015,광진구 중곡4동,82,138,37,50,38,53,29,24,20,14,12,8,2,6,17,6,5,8,6
107,2015,광진구 화양동,273,46,66,49,244,73,28,47,23,76,55,23,3,12,7,14,20,15,21
108,2015,구로구 가리봉동,59,40,22,15,71,30,44,6,10,43,10,4,8,11,5,62,1,1,11
109,2015,구로구 개봉1동,117,169,41,32,46,61,38,19,25,18,14,14,12,3,18,12,8,12,7
110,2015,구로구 개봉2동,58,121,39,20,36,51,20,15,22,11,5,11,8,12,10,4,4,9,6
111,2015,구로구 개봉3동,54,113,29,23,35,47,14,14,12,8,6,12,8,5,11,4,2,4,4
112,2015,구로구 고척1동,121,121,25,86,66,39,27,18,11,19,11,12,9,8,8,10,11,6,4
113,2015,구로구 고척2동,75,146,41,45,32,54,22,18,19,14,12,13,16,16,11,5,3,7,2
114,2015,구로구 구로1동,18,69,22,9,21,20,9,10,13,2,6,7,6,0,7,2,2,4,3
115,2015,구로구 구로2동,269,141,90,30,98,75,85,36,27,32,22,15,26,9,11,55,12,7,5
116,2015,구로구 구로3동,290,61,123,39,91,35,37,45,19,35,55,19,4,1,5,33,13,14,4
117,2015,구로구 구로4동,136,93,65,90,87,65,52,37,19,35,14,12,4,32,15,46,6,9,7
118,2015,구로구 구로5동,229,113,96,265,69,43,30,35,26,36,30,17,11,5,10,21,11,18,7
119,2015,구로구 수궁동,67,134,31,7,23,30,25,14,14,9,16,11,9,2,12,7,4,6,7
120,2015,구로구 신도림동,129,71,70,110,27,39,29,20,16,11,21,16,10,4,7,9,6,18,4
121,2015,구로구 오류1동,76,73,31,25,33,38,16,16,12,14,18,7,5,8,12,5,7,9,4
122,2015,구로구 오류2동,77,210,42,10,21,47,26,20,19,8,16,14,5,9,9,7,2,11,4
123,2015,금천구 가산동,446,195,176,632,94,34,63,75,20,29,78,21,23,7,3,49,20,23,9
124,2015,금천구 독산1동,183,161,58,57,65,41,50,33,25,33,20,17,35,6,59,20,10,9,4
125,2015,금천구 독산2동,78,110,33,19,39,51,25,11,15,13,8,8,10,9,12,4,5,4,6
126,2015,금천구 독산3동,127,148,58,51,73,70,60,32,28,26,15,15,15,21,14,37,7,6,9
127,2015,금천구 독산4동,76,78,23,8,50,37,24,16,12,22,9,14,10,3,5,9,6,2,4
128,2015,금천구 시흥1동,249,151,67,111,108,78,45,52,28,41,28,21,17,38,22,16,15,15,9
129,2015,금천구 시흥2동,7,110,18,4,5,19,9,8,8,1,3,5,3,2,4,1,0,2,0
130,2015,금천구 시흥3동,72,109,25,8,20,17,18,12,6,7,8,4,15,2,3,4,4,4,2
131,2015,금천구 시흥4동,22,130,17,15,18,34,16,15,14,6,9,9,5,3,10,2,3,3,3
132,2015,금천구 시흥5동,78,117,29,29,35,54,33,18,15,14,7,12,6,10,11,2,8,7,8
133,2015,노원구 공릉1동,189,182,76,54,69,69,33,36,27,28,30,24,26,20,16,9,10,12,7
134,2015,노원구 공릉2동,118,169,61,26,34,54,25,34,22,23,31,17,5,1,17,8,11,16,7
135,2015,노원구 상계10동,9,41,13,10,3,11,9,6,3,4,3,3,1,0,0,1,1,1,1
136,2015,노원구 상계1동,167,144,59,25,62,59,22,21,23,28,17,17,20,3,11,10,8,10,7
137,2015,노원구 상계2동,244,68,58,284,144,84,29,35,22,55,20,17,17,8,19,14,15,18,8
138,2015,노원구 상계3.4동,121,171,44,26,46,57,49,13,23,21,9,14,14,13,12,6,7,5,5
139,2015,노원구 상계5동,79,96,43,36,51,52,26,20,13,17,10,13,13,9,8,4,7,7,7
140,2015,노원구 상계6.7동,100,79,58,23,43,48,23,31,17,19,21,15,3,10,9,14,7,12,3
141,2015,노원구 상계8동,19,38,15,19,7,18,8,9,9,3,4,5,1,2,3,3,0,6,2
142,2015,노원구 상계9동,18,68,19,27,9,17,7,16,9,2,5,4,0,4,4,3,1,4,2
143,2015,노원구 월계1동,135,115,36,13,41,39,22,23,14,28,19,21,11,3,8,10,13,9,10
144,2015,노원구 월계2동,33,135,15,7,18,27,20,20,17,6,10,13,1,3,10,6,2,6,2
145,2015,노원구 월계3동,32,159,34,39,4,26,17,10,12,2,6,9,2,3,8,2,0,6,1
146,2015,노원구 중계1동,25,50,35,16,7,34,13,27,17,5,10,7,6,1,5,6,0,11,2
147,2015,노원구 중계2.3동,56,123,21,230,12,32,23,19,11,1,6,14,1,2,7,10,0,12,2
148,2015,노원구 중계4동,111,71,24,43,35,24,15,20,7,20,7,13,5,4,6,4,9,9,6
149,2015,노원구 중계본동,58,68,36,22,24,35,19,17,16,7,11,13,6,3,7,6,4,4,6
150,2015,노원구 하계1동,71,52,23,79,21,21,18,13,12,2,14,8,16,2,4,7,1,5,1
151,2015,노원구 하계2동,14,54,15,0,1,17,8,5,7,0,1,4,0,1,1,0,0,1,1
152,2015,도봉구 도봉1동,205,99,48,25,47,40,35,14,14,27,19,12,10,10,10,10,10,3,3
153,2015,도봉구 도봉2동,98,119,37,19,47,38,18,10,14,8,7,6,10,7,7,6,1,6,2
154,2015,도봉구 방학1동,200,140,72,88,118,69,37,35,23,43,22,17,19,6,10,14,16,15,12
155,2015,도봉구 방학2동,70,88,22,28,24,51,24,15,13,10,9,9,8,21,14,7,6,5,1
156,2015,도봉구 방학3동,39,104,21,8,6,19,16,9,14,4,7,8,6,1,4,1,4,4,0
157,2015,도봉구 쌍문1동,29,90,17,10,18,33,22,23,13,3,11,7,4,6,11,5,3,5,3
158,2015,도봉구 쌍문2동,69,99,32,41,25,44,21,18,15,14,11,9,7,4,5,4,4,7,7
159,2015,도봉구 쌍문3동,52,53,32,38,27,31,22,13,15,7,12,8,8,8,12,5,3,5,2
160,2015,도봉구 쌍문4동,13,66,17,21,4,26,11,12,11,1,6,7,2,2,6,2,0,1,2
161,2015,도봉구 창1동,55,389,44,26,26,34,19,15,18,13,11,5,9,4,6,3,2,4,4
162,2015,도봉구 창2동,60,155,45,41,31,52,24,13,22,7,15,14,10,7,11,5,4,4,8
163,2015,도봉구 창3동,71,86,26,25,38,32,14,12,13,12,10,7,13,8,11,3,3,7,1
164,2015,도봉구 창4동,68,69,34,20,39,23,21,19,11,12,17,8,3,3,3,5,6,14,4
165,2015,도봉구 창5동,89,158,45,32,31,44,17,18,11,16,11,12,12,3,9,9,6,8,4
166,2015,동대문구 답십리1동,115,91,65,37,38,30,25,14,14,17,18,4,11,1,3,3,6,5,2
167,2015,동대문구 답십리2동,86,131,40,24,34,40,27,15,16,12,12,9,25,11,13,6,3,5,5
168,2015,동대문구 용신동,367,103,103,115,75,48,89,44,28,26,41,14,30,28,14,21,11,9,5
169,2015,동대문구 이문1동,143,90,56,25,76,56,31,54,29,16,27,20,9,9,7,17,7,14,9
170,2015,동대문구 이문2동,33,75,31,6,22,21,10,6,11,5,12,6,2,4,6,3,1,3,1
171,2015,동대문구 장안1동,262,191,91,80,80,72,47,36,38,31,38,16,102,9,18,15,15,11,8
172,2015,동대문구 장안2동,226,168,64,155,75,76,44,44,30,30,26,21,22,6,19,12,15,12,6
173,2015,동대문구 전농1동,176,123,55,278,55,68,40,45,20,24,24,17,19,12,16,7,8,17,7
174,2015,동대문구 전농2동,28,77,18,13,16,30,16,24,14,9,15,5,3,3,2,8,4,6,2
175,2015,동대문구 제기동,250,83,63,34,117,41,103,35,20,7,20,12,28,542,69,16,1,8,5
176,2015,동대문구 청량리동,153,91,39,59,56,42,42,26,15,16,10,14,3,24,10,8,7,5,4
177,2015,동대문구 회기동,116,15,20,41,69,25,14,28,9,21,18,11,1,4,1,13,7,11,5
178,2015,동대문구 휘경1동,85,44,23,16,33,30,18,25,13,9,18,8,4,5,13,4,1,7,5
179,2015,동대문구 휘경2동,37,440,35,6,10,23,18,18,14,4,13,11,4,3,4,3,4,7,2
180,2015,동작구 노량진1동,143,73,68,27,54,49,39,48,22,11,33,21,3,6,9,13,9,15,26
181,2015,동작구 노량진2동,84,34,33,24,45,29,24,23,12,14,15,8,0,6,5,11,4,4,7
182,2015,동작구 대방동,80,62,58,28,46,36,30,23,21,9,22,17,15,5,6,9,5,12,5
183,2015,동작구 사당1동,147,66,75,43,74,43,17,20,20,33,23,14,8,6,8,13,7,15,5
184,2015,동작구 사당2동,129,58,57,51,87,57,20,30,23,26,19,12,3,18,11,13,7,14,7
185,2015,동작구 사당3동,48,60,37,13,24,30,14,8,13,5,8,13,10,7,6,2,1,4,0
186,2015,동작구 사당4동,33,48,22,21,11,28,13,13,16,7,7,7,0,13,10,2,2,8,2
187,2015,동작구 사당5동,20,49,16,2,3,24,11,4,8,2,3,6,5,3,4,2,1,0,1
188,2015,동작구 상도1동,109,80,74,30,64,56,26,33,20,14,32,15,16,11,11,11,10,17,13
189,2015,동작구 상도2동,83,55,73,46,28,43,16,21,16,14,15,12,7,11,9,4,6,11,5
190,2015,동작구 상도3동,44,80,38,42,19,40,16,14,16,11,7,11,1,9,9,6,4,5,4
191,2015,동작구 상도4동,49,100,33,21,22,38,20,13,13,9,10,14,2,9,11,4,1,2,3
192,2015,동작구 신대방1동,56,42,45,34,26,41,22,17,18,8,11,11,5,8,10,11,2,6,3
193,2015,동작구 신대방2동,108,47,38,14,25,35,15,23,13,12,18,8,7,3,1,9,8,9,5
194,2015,동작구 흑석동,138,70,70,42,82,54,40,28,24,8,20,14,6,14,8,13,10,14,7
195,2015,마포구 공덕동,197,104,105,22,66,72,44,29,28,14,19,17,4,16,19,15,8,7,5
196,2015,마포구 대흥동,123,45,60,11,59,38,25,33,10,10,31,15,9,4,6,10,3,10,8
197,2015,마포구 도화동,136,43,63,26,59,36,17,26,20,22,16,14,2,9,8,14,3,6,3
198,2015,마포구 망원1동,93,103,49,35,33,44,12,21,16,16,17,13,11,16,11,4,7,11,3
199,2015,마포구 망원2동,81,97,39,36,36,50,12,17,17,14,15,11,5,12,10,8,4,7,3
200,2015,마포구 상암동,216,80,70,15,38,30,27,34,17,6,38,22,1,2,5,20,6,18,1
201,2015,마포구 서강동,127,52,81,32,57,51,16,22,14,3,29,16,9,3,3,9,1,26,5
202,2015,마포구 서교동,661,53,174,402,553,217,49,106,17,78,85,43,10,8,12,50,22,76,16
203,2015,마포구 성산1동,67,71,39,15,16,24,18,12,14,12,15,9,13,1,3,7,2,5,3
204,2015,마포구 성산2동,89,131,56,106,23,39,27,28,18,4,19,13,12,28,9,9,6,11,2
205,2015,마포구 신수동,66,50,47,7,18,28,16,17,13,3,15,13,10,2,4,6,3,7,1
206,2015,마포구 아현동,99,38,90,42,42,38,28,16,15,2,17,11,5,17,11,7,0,14,1
207,2015,마포구 연남동,81,47,41,22,76,35,13,16,9,6,17,5,9,0,5,21,1,12,1
208,2015,마포구 염리동,37,41,23,13,20,30,19,15,9,6,6,13,4,11,5,4,1,6,0
209,2015,마포구 용강동,164,30,78,11,62,30,17,25,15,21,21,10,10,1,5,10,6,8,3
210,2015,마포구 합정동,123,87,55,39,75,42,13,12,14,12,24,8,13,2,3,11,4,11,4
211,2015,서대문구 남가좌1동,73,22,27,55,43,9,23,11,1,5,3,3,0,30,15,3,2,2,0
212,2015,서대문구 남가좌2동,98,79,64,32,52,61,32,30,17,19,9,17,12,5,16,8,11,8,6
213,2015,서대문구 북가좌1동,18,91,21,2,5,17,10,11,8,0,11,9,7,1,2,0,2,6,1
214,2015,서대문구 북가좌2동,81,155,67,26,50,70,29,25,28,15,18,20,13,5,11,8,11,10,8
215,2015,서대문구 북아현동,38,67,47,9,13,10,24,4,8,3,4,6,2,3,4,2,2,2,0
216,2015,서대문구 신촌동,358,15,80,170,258,126,47,85,19,53,64,27,2,5,7,35,18,47,18
217,2015,서대문구 연희동,119,117,61,51,50,61,33,33,30,9,30,14,27,9,6,23,7,21,4
218,2015,서대문구 천연동,79,36,32,26,22,25,18,24,10,6,8,7,4,13,11,2,3,4,1
219,2015,서대문구 충현동,177,17,45,14,52,25,26,37,15,9,25,4,4,5,2,9,8,7,3
220,2015,서대문구 홍은1동,50,80,26,22,20,34,26,20,14,3,5,12,5,10,9,4,3,6,3
221,2015,서대문구 홍은2동,74,108,30,12,33,29,29,25,17,4,17,6,17,2,5,5,7,9,7
222,2015,서대문구 홍제1동,64,76,31,19,28,40,19,16,15,9,11,11,5,6,7,3,2,8,3
223,2015,서대문구 홍제2동,29,25,25,12,18,22,7,8,9,7,4,4,0,1,6,2,3,4,4
224,2015,서대문구 홍제3동,94,79,26,47,37,31,24,22,16,11,12,11,6,65,18,7,7,12,1
225,2015,서초구 내곡동,33,48,22,4,2,2,11,1,4,1,6,3,0,1,1,1,0,2,0
226,2015,서초구 반포1동,95,10,89,49,37,48,17,27,22,11,22,18,6,3,4,6,3,12,9
227,2015,서초구 반포2동,7,7,38,14,1,22,7,16,7,0,7,2,0,3,4,1,0,4,0
228,2015,서초구 반포3동,40,4,59,53,8,19,14,12,6,5,2,9,4,0,4,6,1,9,3
229,2015,서초구 반포4동,137,6,35,550,36,32,31,40,13,9,34,3,4,6,7,19,4,35,3
230,2015,서초구 반포본동,22,1,28,76,15,20,11,14,8,1,2,6,3,9,5,5,0,8,1
231,2015,서초구 방배1동,98,20,69,29,34,37,14,18,17,21,11,10,4,2,10,14,8,8,8
232,2015,서초구 방배2동,149,54,85,24,47,40,18,14,19,16,18,8,13,1,12,9,9,9,5
233,2015,서초구 방배3동,36,34,46,12,7,25,19,12,18,0,12,3,5,2,3,4,2,7,0
234,2015,서초구 방배4동,113,34,98,21,19,57,14,33,21,11,19,8,29,5,6,10,5,11,2
235,2015,서초구 방배본동,108,19,45,36,34,50,15,20,16,16,14,7,8,3,7,7,3,15,3
236,2015,서초구 서초1동,164,12,126,28,35,42,21,34,20,14,27,17,22,3,6,16,7,16,6
237,2015,서초구 서초2동,191,10,172,48,32,50,26,43,16,12,29,22,4,3,2,19,5,17,4
238,2015,서초구 서초3동,415,30,209,40,110,43,37,51,28,54,58,20,20,3,8,32,22,32,6
239,2015,서초구 서초4동,170,4,90,59,81,35,22,39,20,15,30,14,1,4,5,14,9,21,3
240,2015,서초구 양재1동,208,100,86,33,70,46,24,29,27,32,41,24,29,3,9,17,17,24,5
241,2015,서초구 양재2동,293,68,106,156,56,35,32,39,19,51,36,21,52,1,9,17,20,13,7
242,2015,서초구 잠원동,180,21,100,18,62,31,21,24,25,27,26,19,6,4,5,11,6,10,2
243,2015,성동구 금호1가동,33,40,21,3,7,22,7,5,11,3,5,2,3,1,2,1,2,1,3
244,2015,성동구 금호2.3가동,88,79,41,39,28,48,18,14,17,5,8,9,1,5,9,6,4,6,1
245,2015,성동구 금호4가동,47,30,30,20,26,21,13,7,8,8,6,4,2,4,2,5,2,5,3
246,2015,성동구 마장동,133,101,34,3,29,28,41,16,16,6,12,9,15,6,47,6,8,4,3
247,2015,성동구 사근동,116,37,30,21,60,25,20,37,10,19,28,13,0,3,4,11,16,9,12
248,2015,성동구 성수1가1동,65,60,37,12,10,20,18,11,9,10,12,5,8,0,2,4,2,3,0
249,2015,성동구 성수1가2동,119,88,47,9,22,22,21,16,10,13,19,11,11,3,9,6,6,9,5
250,2015,성동구 성수2가1동,149,108,40,43,44,29,29,31,18,22,12,12,26,9,4,12,5,5,5
251,2015,성동구 성수2가3동,206,282,65,20,29,14,39,20,9,25,35,7,41,2,3,14,12,8,2
252,2015,성동구 송정동,30,56,14,5,12,18,13,6,8,4,4,4,7,6,4,2,3,3,1
253,2015,성동구 옥수동,44,29,43,13,9,25,11,10,15,3,10,6,3,0,6,3,1,11,1
254,2015,성동구 왕십리2동,37,70,31,16,13,19,14,7,11,4,5,4,0,5,4,3,2,3,3
255,2015,성동구 왕십리도선동,169,52,70,19,62,37,24,17,9,14,12,12,7,5,3,8,4,6,1
256,2015,성동구 용답동,122,58,35,28,42,30,51,17,13,12,14,6,80,10,10,8,6,5,6
257,2015,성동구 응봉동,7,60,13,7,6,13,11,6,9,1,1,4,3,0,2,1,0,2,1
258,2015,성동구 행당1동,103,56,37,101,18,39,20,29,13,10,11,13,3,9,10,8,4,19,3
259,2015,성동구 행당2동,17,40,25,18,6,20,5,9,10,3,6,5,1,3,5,1,0,5,0
260,2015,성북구 길음1동,47,71,53,43,55,39,21,24,14,5,5,9,0,15,13,5,4,15,4
261,2015,성북구 길음2동,52,52,37,192,19,27,17,22,12,3,12,3,6,4,6,5,0,15,3
262,2015,성북구 돈암1동,10,50,18,4,4,13,10,4,10,0,2,2,1,0,7,1,0,1,1
263,2015,성북구 돈암2동,8,34,21,6,2,12,7,9,7,0,1,5,0,1,5,1,0,4,0
264,2015,성북구 동선동,146,29,66,81,103,74,22,53,15,31,26,21,5,5,6,11,12,23,5
265,2015,성북구 보문동,71,56,35,16,28,30,22,12,12,5,9,2,13,8,7,7,2,4,3
266,2015,성북구 삼선동,160,80,50,41,76,52,34,42,17,15,19,10,6,19,17,12,10,9,2
267,2015,성북구 석관동,155,186,71,37,84,69,41,31,25,19,21,15,16,14,15,6,9,5,5
268,2015,성북구 성북동,90,29,41,30,19,21,15,7,10,2,13,6,10,3,6,6,1,11,2
269,2015,성북구 안암동,132,46,34,18,78,37,29,31,11,16,35,9,6,1,1,17,9,12,13
270,2015,성북구 월곡1동,68,106,34,22,22,39,26,17,18,8,11,11,12,10,10,7,2,8,1
271,2015,성북구 월곡2동,112,99,37,35,37,47,24,28,15,20,14,10,17,7,14,6,7,13,6
272,2015,성북구 장위1동,64,128,33,19,29,41,31,10,20,9,8,4,8,5,8,4,3,2,4
273,2015,성북구 장위2동,105,90,36,49,66,43,28,16,12,11,8,9,14,16,21,8,6,4,3
274,2015,성북구 장위3동,45,75,20,18,21,22,20,10,13,4,4,2,10,5,6,5,6,3,4
275,2015,성북구 정릉1동,48,49,23,7,15,25,12,11,11,4,9,8,9,2,4,4,1,6,1
276,2015,성북구 정릉2동,50,116,32,15,14,26,15,15,15,7,7,12,8,2,5,7,4,5,4
277,2015,성북구 정릉3동,70,42,13,8,22,24,23,15,5,4,10,6,6,1,5,6,7,2,3
278,2015,성북구 정릉4동,60,83,31,12,25,29,22,11,17,5,12,5,3,5,9,4,7,5,4
279,2015,성북구 종암동,114,151,58,37,42,60,32,31,29,15,21,18,10,13,13,8,9,8,8
280,2015,송파구 가락1동,53,8,6,0,0,0,26,4,0,0,2,0,3,4,1,0,0,0,0
281,2015,송파구 가락2동,93,86,66,49,37,68,29,23,23,23,12,13,19,7,10,9,6,15,9
282,2015,송파구 가락본동,247,85,90,50,90,51,18,30,21,98,32,17,19,11,3,8,16,16,7
283,2015,송파구 거여1동,45,93,19,12,17,31,8,9,13,12,10,4,8,5,6,4,4,3,5
284,2015,송파구 거여2동,61,102,42,12,32,41,14,14,12,15,13,8,8,6,9,1,4,7,4
285,2015,송파구 마천1동,71,209,34,17,37,34,22,10,15,9,8,5,4,4,5,3,4,3,3
286,2015,송파구 마천2동,101,111,27,57,26,38,24,14,10,11,8,9,13,14,16,10,6,9,3
287,2015,송파구 문정1동,74,73,60,80,11,43,12,15,15,16,12,11,16,1,7,6,6,8,3
288,2015,송파구 문정2동,74,14,119,203,13,25,16,23,14,4,14,6,5,2,4,10,1,13,3
289,2015,송파구 방이1동,101,45,39,20,37,36,7,12,15,18,16,6,14,1,3,7,7,9,2
290,2015,송파구 방이2동,247,79,101,31,111,39,18,27,24,51,32,20,15,7,11,14,15,10,8
291,2015,송파구 삼전동,124,104,69,22,46,75,19,33,32,21,22,20,25,5,12,10,9,10,8
292,2015,송파구 석촌동,198,115,94,49,93,70,26,31,26,54,29,22,18,16,13,11,14,8,5
293,2015,송파구 송파1동,125,449,71,27,57,59,16,20,23,28,21,8,13,3,9,8,12,11,5
294,2015,송파구 송파2동,29,39,44,29,11,32,16,29,12,0,9,8,4,3,7,4,0,11,5
295,2015,송파구 오금동,111,159,58,28,44,51,32,21,28,16,17,15,41,2,16,10,7,8,5
296,2015,송파구 오륜동,14,2,20,74,1,14,11,9,5,0,8,2,2,4,1,4,0,4,1
297,2015,송파구 위례동,6,31,21,0,1,3,0,2,0,0,3,1,0,0,1,0,0,1,1
298,2015,송파구 잠실2동,21,17,64,58,1,28,12,17,10,0,11,4,0,8,6,0,0,16,0
299,2015,송파구 잠실3동,52,22,86,398,5,27,17,29,17,0,12,2,1,6,4,8,0,32,0
300,2015,송파구 잠실4동,14,21,47,9,5,19,9,11,11,0,5,7,0,3,7,1,1,6,2
301,2015,송파구 잠실6동,123,475,52,169,10,33,21,32,9,3,17,11,1,5,3,11,3,22,0
302,2015,송파구 잠실7동,0,3,16,13,0,9,8,5,5,0,3,1,0,3,4,3,0,3,0
303,2015,송파구 잠실본동,317,61,100,51,148,89,25,45,32,65,44,32,18,18,11,13,17,16,18
304,2015,송파구 장지동,75,151,52,4,27,46,21,18,15,15,16,11,13,3,6,6,5,5,3
305,2015,송파구 풍납1동,67,69,24,14,21,33,12,14,12,11,6,11,5,10,9,5,2,4,5
306,2015,송파구 풍납2동,54,69,43,22,18,32,15,12,17,12,11,16,8,4,4,4,4,5,3
307,2015,양천구 목1동,186,35,67,309,74,48,21,38,13,24,24,12,7,3,5,15,7,28,6
308,2015,양천구 목2동,77,98,61,23,30,42,24,15,18,15,14,14,6,5,8,5,7,7,4
309,2015,양천구 목3동,68,73,47,52,53,56,19,15,18,19,9,11,4,7,10,6,8,7,7
310,2015,양천구 목4동,80,69,44,26,46,65,26,19,20,15,8,15,9,8,20,8,3,13,2
311,2015,양천구 목5동,54,24,97,43,16,43,22,22,25,1,18,14,1,5,7,6,3,21,5
312,2015,양천구 신월1동,105,150,45,51,75,60,32,20,13,18,13,10,23,24,17,7,7,3,13
313,2015,양천구 신월2동,41,155,38,16,24,25,18,9,16,6,6,7,10,7,11,2,5,4,3
314,2015,양천구 신월3동,53,132,10,16,23,26,27,12,6,5,9,7,13,8,9,2,3,2,2
315,2015,양천구 신월4동,73,144,25,10,38,44,11,10,10,12,11,13,11,6,9,6,3,4,2
316,2015,양천구 신월5동,71,93,23,23,27,31,20,8,11,14,12,5,18,5,3,3,5,3,3
317,2015,양천구 신월6동,42,73,23,17,19,20,11,6,5,8,5,3,4,13,12,2,5,3,2
318,2015,양천구 신월7동,69,194,32,17,28,44,26,16,12,16,8,13,10,5,10,5,9,5,2
319,2015,양천구 신정1동,91,21,58,27,44,35,7,14,13,18,7,11,16,5,8,5,3,13,1
320,2015,양천구 신정2동,58,66,41,28,14,47,14,17,13,7,7,12,10,14,12,5,4,8,1
321,2015,양천구 신정3동,70,239,57,38,42,63,47,26,26,13,10,15,8,11,22,6,4,11,5
322,2015,양천구 신정4동,169,164,91,91,107,98,39,29,33,45,26,16,23,11,15,10,9,13,9
323,2015,양천구 신정6동,18,17,46,11,2,15,12,11,13,0,8,5,0,6,5,0,0,8,1
324,2015,양천구 신정7동,44,82,34,15,10,35,15,14,12,5,7,10,7,5,7,5,3,12,8
325,2015,영등포구 당산1동,215,75,66,19,157,45,25,22,17,32,26,11,13,3,4,10,11,8,4
326,2015,영등포구 당산2동,147,53,96,33,55,35,19,28,23,12,33,8,3,7,8,14,11,12,3
327,2015,영등포구 대림1동,75,47,36,34,47,46,30,20,9,19,11,11,9,19,10,15,2,7,4
328,2015,영등포구 대림2동,73,51,38,37,69,55,38,9,11,28,10,5,3,17,14,141,8,4,7
329,2015,영등포구 대림3동,119,138,56,18,70,48,38,25,19,51,17,10,24,4,8,55,10,6,7
330,2015,영등포구 도림동,50,81,34,12,35,37,26,8,20,13,6,7,19,3,3,13,3,3,4
331,2015,영등포구 문래동,230,69,62,55,48,31,41,37,15,13,27,15,19,12,9,15,13,12,3
