매장명,매장주소
본 죽&비빔밥 역삼특허청점,"서울특별시 강남구 테헤란로14길 8 (역삼동, 강남역두산위브센티움) B107호"
본 죽&비빔밥 쌍문점,"서울 도봉구 도당로 14 (쌍문동, 다보빌딩) 1층"
본 죽&비빔밥 창동점,서울 도봉구 노해로63가길 12 (창동)
본 죽&비빔밥 양재은광여고점,"서울특별시 강남구 남부순환로361길 9 (도곡동, 천성빌딩)"
본 죽&비빔밥 선유도역점,서울특별시 영등포구 양평로 113 (양평동4가)
본 죽&비빔밥 대흥역점,"서울특별시 마포구 대흥로 79 (대흥동, 동양엔파트) 상가동 108호"
본 죽&비빔밥 상일동역점,"서울특별시 강동구 고덕로 385 (고덕동, 고덕그라시움아파트(상가4동)) 고덕그라시움 4-복합상가동 215호"
본 죽&비빔밥 연세세브란스빌딩점,"서울특별시 중구 통일로 10 (남대문로5가, 연세대학교세브란스빌딩) 지하 1층"
본 죽&비빔밥 장승배기역점,"서울특별시 동작구 장승배기로11가길 11 (상도동, 상도파크자이) 1층"
본 죽&비빔밥 가산테라타워점,서울특별시 금천구 디지털로10길 78 (가산동) 가산테라타워 1층 122호
본 죽&비빔밥 세곡점,"서울특별시 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈) 106호"
본 죽&비빔밥 마곡나루역점,"서울특별시 강서구 마곡중앙로 161-8 (마곡동, 두산더랜드파크) A동 105호"
본 죽&비빔밥 충정로브라운스톤점,"서울특별시 중구 청파로 464 (중림동, 브라운스톤서울) 110호"
본 죽&비빔밥 숙대입구역점,서울특별시 용산구 청파로47길 21 (청파동2가)
본 죽&비빔밥 한남순천향병원점,"서울특별시 용산구 대사관로 63 (한남동, 한남치과)"
본 죽&비빔밥 삼성역점,"서울특별시 강남구 테헤란로88길 10 (대치동, 신안메트로칸) B109"
본 죽&비빔밥 포이점,"서울특별시 서초구 마방로10길 18-1 (양재동, 남광빌딩)"
본 죽&비빔밥 낙성대점,서울특별시 관악구 솔밭로 2 (봉천동)
본 죽&비빔밥 중앙대점,서울특별시 동작구 흑석로 91 (흑석동)
본 죽&비빔밥 굽은다리역점,"서울특별시 강동구 상암로 195 (명일동, 에이플러스) 에이플러스 제1층 105호"
본 죽&비빔밥 노원점,"서울특별시 노원구 동일로217가길 35 (상계동, 보람빌딩)"
