매장명,매장주소
본 죽&비빔밥 대전유성온천역점,"대전광역시 유성구 계룡로 92 (봉명동, 유성CJ나인파크) 104호"
본 죽&비빔밥 대전월평이마트점,"대전광역시 서구 월평로 40 (월평동, 월드프라자) 101호"
본 죽&비빔밥 대전목동점,대전광역시 중구 목중로 47 (목동) 1층
본 죽&비빔밥 대전신탄점,"대전광역시 대덕구 대덕대로 1555 (석봉동, 금강엑슬루타워) 122호"
본 죽&비빔밥 대전용문점,대전광역시 서구 계룡로 625 (탄방동) 1층
본 죽&비빔밥 대전성모병원점,"대전 중구 대흥로 64 (대흥동, 성모병원) 1층"
본 죽&비빔밥 대전하기동점,대전광역시 유성구 송림로 52 (하기동) 105호
본 죽&비빔밥 대전송촌점,"대전광역시 대덕구 동춘당로126번길 2 (송촌동, 아이프라자) 1층"
본 죽&비빔밥 대전역점,대전광역시 동구 대전로 816 (정동) 1층
본 죽&비빔밥 충남대병원점,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원) B1층 구내식당"
본 죽&비빔밥 대전부사점,대전광역시 중구 보문로 49 (문창동)
본 죽&비빔밥 대전월평점,대전광역시 서구 월평북로 83 (월평동)
본 죽&비빔밥 대전건양대병원점,"대전광역시 서구 관저동로 162 (관저동, 건양프라자)"
본 죽&비빔밥 대전도룡점,대전광역시 유성구 가정로 306 (도룡동)
본 죽&비빔밥 서대전점,"대전광역시 중구 계백로 1717 (오류동, 고려빌딩)"
본 죽&비빔밥 대전법동점,대전광역시 대덕구 계족산로17번길 115 (법동)
본 죽&비빔밥 대전둔산점,대전광역시 서구 둔산로 8 (둔산동)
본 죽&비빔밥 대전도안신도시점,대전광역시 유성구 도안대로 512-12 (봉명동)
본 죽&비빔밥 대전복합터미널점,대전광역시 동구 동서대로 1688 (성남동) 103호
본 죽&비빔밥 대전어은점,대전광역시 유성구 어은로58번길 10 (어은동)
본 죽&비빔밥 대전둔산법원점,대전광역시 서구 둔산중로72번길 32 아크로프라자
본 죽&비빔밥 울산서동점,울산광역시 중구 동천서로 56 (서동) 104호
본 죽&비빔밥 울산청량점,"울산광역시 울주군 청량읍 상남길 25 (상남리, 울주상남골드클래스) 상가동 108호"
본 죽&비빔밥 울산성남점,울산광역시 중구 중앙길 142 (성남동) 1층 본죽&비빔밥 울산성남점
본 죽&비빔밥 울산성안점,울산광역시 중구 성안로 160 (성안동) 103호
본 죽&비빔밥 울산남목점,울산광역시 동구 방어진순환도로 1120 (서부동) 본죽&비빔밥 울산남목점
본 죽&비빔밥 울산구영점,"울산광역시 울주군 범서읍 점촌3길 8-15 (구영리, 지에스프라자) 본죽&비빔밥 울산구영점"
본 죽&비빔밥 울산염포점,울산광역시 북구 염포로 615 (염포동) 본죽&비빔밥 울산염포점
본 죽&비빔밥 울산우정점,"울산광역시 중구 평동3길 1 (유곡동, 울산 유곡 푸르지오) 122동 108호"
본 죽&비빔밥 울산월드점,"울산광역시 북구 괴정1길 114 (매곡동, 아이마음소아청소년병원) 103호"
본 죽&비빔밥 울산공업탑점,울산광역시 남구 봉월로 10 (신정동) 1호
본 죽&비빔밥 울산태화점,"울산 중구 신기14길 1 (태화동, 일신아파트) 상가 106호"
본 죽&비빔밥 울산명촌점,울산 북구 명촌로 29 (진장동) 1층
본 죽&비빔밥 울산송정점,울산 북구 박상진12로 11 (송정동) 1층
본 죽&비빔밥 울산삼산점,울산광역시 남구 삼산로253번길 7 (달동)
본 죽&비빔밥 울산약사점,울산광역시 중구 번영로 487 (약사동) 1층
본 죽&비빔밥 울산화봉점,"울산광역시 북구 상방로 110 (연암동, 성원아파트) 제상가6동 109호"
본 죽&비빔밥 울산매곡점,울산광역시 북구 매곡1로 46 (매곡동)
본 죽&비빔밥 울산야음점,"울산광역시 남구 수암로149번길 9 (야음동, 대하미르빌주상복합아파트)"
본 죽&비빔밥 울산무거점,울산광역시 남구 옥현로46번길 5-12 (무거동)
본 죽&비빔밥 울산강동산하점,울산광역시 북구 산하중앙2로 283
본 죽&비빔밥 울산달동굿모닝점,울산광역시 남구 삼산로 123 눈높이 울산센터
본 죽&비빔밥 울산호계점,울산광역시 북구 호계로 329 문화청솔아파트상가 102호
본 죽&비빔밥 울산신정시장점,울산광역시 남구 중앙로 237
본 죽&비빔밥 산본학원가점[산본제일병원],"경기도 군포시 산본로 394 (산본동, 대림프라자) 105호"
본 죽&비빔밥 신영통반월점,"경기도 화성시 영통로61번길 6 (반월동, 제일프라자) 1층"
본 죽&비빔밥 광주회덕점,경기도 광주시 이배재로 150 (목현동) 109호 본죽&비빔밥 광주회덕점
본 죽&비빔밥 일산백마점,"경기도 고양시 일산동구 일산로 238 (마두동, 대일빌딩) 1층"
본 죽&비빔밥 병점역점,경기도 화성시 병점2로 12 (병점동) 1층
본 죽&비빔밥 평택지제점,경기도 평택시 동삭1로22번길 19-6 (동삭동) 더원주차프라자 112호
본 죽&비빔밥 양주광적점,경기도 양주시 광적면 가래비길 83 (가납리) 1층
본 죽&비빔밥 용인죽전사거리점,"경기도 용인시 수지구 대지로 43 (죽전동, 금강프라자) 113호"
본 죽&비빔밥 포천송우점,경기도 포천시 소흘읍 송우로 38 (송우리)
본 죽&비빔밥 안산그랑자이점,"경기도 안산시 상록구 해안로 776 (사동, 그랑시티타이 LIFE AVENUE) 102호"
본 죽&비빔밥 의정부시청점,"경기도 의정부시 시민로 39 (의정부동, 대정프라자) 1층"
본 죽&비빔밥 시흥배곧한라점,"경기도 시흥시 배곧1로 27-15 (배곧동, 한라비발디캠퍼스) 상가3동 104호"
본 죽&비빔밥 부천옥길점,"경기도 부천시 옥길로 121 (옥길동, 씨티프라자) 104호"
본 죽&비빔밥 의정부고산점,"경기도 의정부시 서광로 135 (산곡동, 센타프라자) 1층 103호"
본 죽&비빔밥 여주오학점,경기도 여주시 도예로 53 (현암동)
본 죽&비빔밥 동탄능동점,"경기도 화성시 동탄지성로 133 (능동, 덕천프라자) 108호"
본 죽&비빔밥 시흥배곧점,"경기도 시흥시 서울대학로278번길 19-8 (배곧동, 새롬프라자) 115호"
본 죽&비빔밥 포천점,경기도 포천시 포천로 1577 (신읍동) 1층
본 죽&비빔밥 성남신시청점,경기도 성남시 중원구 성남대로997번길 25-15 (여수동) 1층 본죽&비빔밥 성남신시청점
본 죽&비빔밥 부천중동역점,경기도 부천시 중동로 48 (송내동) 대우프라자 1층 109호
본 죽&비빔밥 일산가좌점,경기도 고양시 일산서구 가좌3로 7-1 (가좌동) 나동 102호
본 죽&비빔밥 성남도촌점,"경기도 성남시 중원구 도촌남로 27 (도촌동, 동강프라자) 111호"
본 죽&비빔밥 용인구갈점,"경기도 용인시 기흥구 관곡로 92 (구갈동, 신건프라자) 104호"
본 죽&비빔밥 용인신갈점,"경기도 용인시 기흥구 새천년로26번길 2 (신갈동, 센타프라자) 110호"
본 죽&비빔밥 시흥장곡점,경기도 시흥시 장현장곡로 2 (장곡동) 103호
본 죽&비빔밥 구리갈매점,경기도 구리시 갈매중앙로 70 (갈매동) 1층 120호
본 죽&비빔밥 분당정자네이버점,"경기도 성남시 분당구 정자일로 100 (정자동, 미켈란쉐르빌) 1층 본죽&비빔밥 분당정자네이버점"
본 죽&비빔밥 안양1번가점,경기도 안양시 만안구 안양로 276 (안양동) 1층
(취소)본 죽&비빔밥 남양주호평알프하임점,"경기도 남양주시 백봉로 32 (호평동, 두산 알프하임) A동 상가 107호"
본 죽&비빔밥 광교중흥점,"경기도 수원시 영통구 광교호수공원로 277 (원천동, 광교중흥에스클래스) B2 11호"
본 죽&비빔밥 곤지암점,경기도 광주시 곤지암읍 곤지암로 65 (곤지암리) 1층 본죽&비빔밥 곤지암점
본 죽&비빔밥 일산식사점,경기도 고양시 일산동구 위시티로 67 (식사동) 103호
본 죽&비빔밥 부천소사본동점,경기도 부천시 소사로 220 (소사본동) 101호
본 죽&비빔밥 평택시청점,"경기도 평택시 평택5로20번길 39 (합정동, 합정동 타임스퀘어) 1층 제104호"
본 죽&비빔밥 수원성빈센트병원점,"경기도 수원시 팔달구 중부대로 110 (인계동, 한라시그마팰리스) 101호"
본 죽&비빔밥 군포부곡점,"경기도 군포시 군포첨단산업2로 4 (부곡동, 티타워) 1층"
본 죽&비빔밥 남양주진접더샵점,경기도 남양주시 진접읍 부평로48번길 140 (부평리) 상가 3동 106호
본 죽&비빔밥 분당오리무지개점,"경기도 성남시 분당구 구미로 60 (구미동, 관보쇼핑) 107호"
본 죽&비빔밥 하남덕풍점,"경기도 하남시 신장로 151 (덕풍동, 대동피렌체) 105호"
본 죽&비빔밥 의정부을지대병원점,경기도 의정부시 동일로747번길 57 (금오동) 205호
본 죽&비빔밥 경기광주초월점,경기도 광주시 초월읍 경충대로 1083 (쌍동리) 1층
본 죽&비빔밥 수원화서사거리점,"경기도 수원시 팔달구 동말로78번길 3 (화서동, 한흥빌딩) 본죽&비빔밥 수원화서사거리점"
본 죽&비빔밥 역곡북부역점,"경기도 부천시 역곡로 24 (역곡동, 덕산빌딩) 104호"
본 죽&비빔밥 의왕고천점,"경기도 의왕시 전주남이길 8 (오전동, 목화케이티이자리에) 1층"
본 죽&비빔밥 평촌나눔초교점,"경기도 안양시 동안구 흥안대로414번길 34 (평촌동, 천사유치원) 1층"
본 죽&비빔밥 범계로데오점,경기도 안양시 동안구 평촌대로223번길 48 (호계동) 2층
본 죽&비빔밥 일산킨텍스역점,"경기도 고양시 일산서구 킨텍스로 240 (대화동, 킨텍스 꿈에그린) 145호"
본 죽&비빔밥 수지상현점,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자) b동 109호"
본 죽&비빔밥 고양서정마을점,"경기도 고양시 덕양구 중앙로 450 (행신동, 명성프라자) 110호"
본 죽&비빔밥 남양주다산지금점,"경기도 남양주시 다산지금로 127 (다산동, 다산지금지구 근생8-1) 1층 103호"
본 죽&비빔밥 파주운정역점,"경기도 파주시 경의로1240번길 31 (와동동, 현해프라자) 107호"
본 죽&비빔밥 성남중앙시장점,"경기도 성남시 수정구 수정로 131 (태평동, 낙원스카이뷰) 105호 본죽&비빔밥 성남중앙시장점"
본 죽&비빔밥 김포장기초당마을점,"경기도 김포시 김포한강2로 96 (장기동, 계림프라자투) 101호"
본 죽&비빔밥 오산수청점,"경기도 오산시 내삼미로 83 (수청동, 센타프라자) 1층, 101호"
본 죽&비빔밥 부천여월점,"경기도 부천시 여월로 72 (여월동, 여월프라자) 101호"
본 죽&비빔밥 이천하이닉스점,경기도 이천시 부발읍 경충대로 2100 (아미리) 107호
본 죽&비빔밥 분당야탑역점,"경기도 성남시 분당구 성남대로926번길 6 (야탑동, 야탑 대덕프라자) 205호"
본 죽&비빔밥 철산역점,"경기도 광명시 오리로 857 (철산동, 일청빌딩) 205호"
본 죽&비빔밥 평택법원점,"경기도 평택시 평남로 1015 (동삭동, 서재프라자) 103호"
본 죽&비빔밥 부천고강점,경기도 부천시 역곡로 491 (고강동) 1층
본 죽&비빔밥 포천일동점,경기도 포천시 일동면 소야길 17 (기산리) 1층
본 죽&비빔밥 수원파장점,"경기도 수원시 장안구 정자로 155 (정자동, 훼미리치과) 본죽"
본 죽&비빔밥 산본중심점,"경기도 군포시 산본로323번길 26-18 (산본동, 거성빌딩1차) 102호"
본 죽&비빔밥 남양주금곡점,"경기도 남양주시 금곡로 72 (금곡동, 센타프라자) 1층"
본 죽&비빔밥 부천오정점,"경기도 부천시 오정로 246 (오정동, 신오빌딩2) 1층"
본 죽&비빔밥 시흥거모점,"경기도 시흥시 군자로 507 (거모동, 군자프라자) 113호"
본 죽&비빔밥 양주고읍점,경기도 양주시 고읍남로 15 (광사동) 마들프라자 104호
본 죽&비빔밥 평택고덕국제점,"경기도 평택시 고덕중앙로 200-4 (고덕동, 우성고덕타워) 1층 120호"
본 죽&비빔밥 파주문산점,"경기도 파주시 문산읍 문향로75번길 19-12 (문산리, 삼성멀티프라자) 1층"
본 죽&비빔밥 광주능평점,경기도 광주시 오포읍 능평로 221 (능평리) 1층
본 죽&비빔밥 광주탄벌점,경기 광주시 포돌이로 6-1 (탄벌동) 1층
본 죽&비빔밥 원흥지구점,"경기도 고양시 덕양구 도래울로 54 (도내동, 도래올빌딩) 106호"
본 죽&비빔밥 안산본오점,"경기도 안산시 상록구 샘골로 144 (본오동, 유경빌딩) 103호"
본 죽&비빔밥 시흥능곡점,"경기도 시흥시 승지로59번길 1 (능곡동, 건아빌딩) 103호"
본 죽&비빔밥 하남감일점,"경기도 하남시 감일백제로 105 (감이동, 신성메디타워) 107호"
본 죽&비빔밥 분당카페거리점,"경기 성남시 분당구 정자일로 230 (정자동, 동양정자파라곤) 113호"
본 죽&비빔밥 광주양벌점,"경기 광주시 오포읍 양벌로 207 (양벌리, 백두산빌딩) 1층"
본 죽&비빔밥 마석역점,경기 남양주시 화도읍 마석중앙로 76 (마석우리) 1층
본 죽&비빔밥 김포신곡점,경기 김포시 고촌읍 수기로 115 (신곡리) 센트럴타워 103호
본 죽&비빔밥 송탄점,경기도 평택시 관광특구로 13 (서정동) 101호
본 죽&비빔밥 구리한대병원점,"경기 구리시 경춘로 160 (교문동, 도양빌딩) 1층"
본 죽&비빔밥 일산덕이점,경기 고양시 일산서구 덕이동 1543 금문프라자 101호
본 죽&비빔밥 수원세류점,"경기도 수원시 권선구 권선로 550 (세류동, 태봉빌딩) 101호"
본 죽&비빔밥 일산정발산점,"경기 고양시 일산동구 일산로 452 (정발산동, 일산프라자)"
본 죽&비빔밥 화성조암점,경기 화성시 우정읍 조암동로10번길 13 (조암리) 101호
본 죽&비빔밥 서판교점,"경기 성남시 분당구 운중로 140 (운중동, 메트로골드) 1층"
본 죽&비빔밥 성남고등점,경기 성남시 수정구 청계산로 686 (고등동) 반도아이비밸리 110호
본 죽&비빔밥 기흥역점,"경기도 용인시 기흥구 기흥역로58번길 10 (구갈동, 기흥역센트럴푸르지오) 3동 108호"
본 죽&비빔밥 동탄꼬모점,경기도 화성시 동탄대로 198 (산척동) 102호
본 죽&비빔밥 고양화정점,"경기 고양시 덕양구 화신로272번길 3 (화정동, 대경프라자 II) 1층"
본 죽&비빔밥 봉담신도시점,경기 화성시 봉담읍 매봉로 443 1층 103호
본 죽&비빔밥 남양주진접점,"경기도 남양주시 진접읍 해밀예당3로 60 (금곡리, 호평프라자) 104호"
본 죽&비빔밥 화정명지병원점,경기 고양시 덕양구 화중로138번길 5-3 (화정동) 1층
본 죽&비빔밥 수지상현점,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자) B동 109호"
본 죽&비빔밥 마북교동마을점,"경기도 용인시 기흥구 마북로 164 (마북동, 테라스가든A빌딩) 106호"
본 죽&비빔밥 시흥목감역점,"경기도 시흥시 목감우회로 39 (목감동, 목감시티프라자) 105호"
본 죽&비빔밥 남양주가운점,"경기도 남양주시 가운로1길 1 (다산동, 드림프라자) 105호"
본 죽&비빔밥 김포걸포점,"경기 김포시 걸포2로 83 (걸포동, 한강메트로자이1단지) 105호"
본 죽&비빔밥 구리인창점,"경기도 구리시 건원대로34번길 25 (인창동, 신아월드코아) 제 2층 204호"
본 죽&비빔밥 구일산점,"경기도 고양시 일산서구 고봉로 291 (일산동, 에이스스타디움) 126호"
본 죽&비빔밥 동탄솔빛나루점,"경기도 화성시 동탄솔빛로 58 (반송동, 동유프라자) 104호"
본 죽&비빔밥 의정부금오점,"경기도 의정부시 청사로47번길 15 (금오동, 골드피아) 104호"
본 죽&비빔밥 이천점,경기도 이천시 서희로59번길 3-2 (창전동) 2층
본 죽&비빔밥 안산고잔법원점,"경기도 안산시 단원구 광덕서로 78 (고잔동, 대한법조) 대한법조타운 118호"
본 죽&비빔밥 시흥시화점,"경기도 시흥시 중심상가2길 8 (정왕동, 중앙빌딩) 102호"
본 죽&비빔밥 시흥배곧타운점,"경기도 시흥시 배곧4로 32-9 (정왕동, 골든프라자) 111호"
본 죽&비빔밥 화성송산점,경기도 화성시 수노을중앙로 136 (새솔동) 메가타워 109호
본 죽&비빔밥 김포풍무역점,경기도 김포시 유현로238번길 31 (풍무동) 웅신타워 109호
본 죽&비빔밥 용인동백역점,"경기도 용인시 기흥구 동백3로11번길 8-1 (중동, 제일프라자) 1층"
본 죽&비빔밥 고양향동점,경기도 고양시 덕양구 향기4로 1 (향동동) (중흥메디프라자) 109호
본 죽&비빔밥 광명역점,"경기도 광명시 덕안로77번길 5 (일직동, 지웰에스테이트) 1층 103호"
본 죽&비빔밥 미사역점,"경기도 하남시 미사강변남로 103 (망월동, 미사랑데르Ⅲ) 113호"
본 죽&비빔밥 용인마평점,"경기도 용인시 처인구 금령로 147 (마평동, 한솔빌딩)"
본 죽&비빔밥 성남중앙병원점,경기도 성남시 중원구 산성대로476번길 6 (금광동) 1층
본 죽&비빔밥 고양신원점,경기도 고양시 덕양구 신원로1길 22 (신원동)
본 죽&비빔밥 용인물푸레마을점,경기도 용인시 기흥구 구성3로28번길 32 (청덕동) 일월프라자 107호
본 죽&비빔밥 용인한숲점,경기도 용인시 처인구 남사면 한숲로 45 1층 126호 (한숲스퀘어옐로우)
본 죽&비빔밥 시흥은계점,"경기도 시흥시 은계번영길 5 (은행동, 은계푸리마타워) 은계푸리마타워 103호"
본 죽&비빔밥 부천역점,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 1층 103호"
본 죽&비빔밥 전곡점,경기도 연천군 전곡읍 전곡로 147
본 죽&비빔밥 수원천천점,"경기도 수원시 장안구 만석로5번길 12-10 (천천동, 중앙프라자)"
본 죽&비빔밥 이천마장점,경기도 이천시 마장면 오천로 49 마장더퍼스트 1층
본 죽&비빔밥 고양원당점,경기도 고양시 덕양구 호국로 780 (성사동) 1층
본 죽&비빔밥 가평점,경기도 가평군 가평읍 가화로 116
본 죽&비빔밥 신갈강남병원점,경기도 용인시 기흥구 신구로12번길 9 (구갈동)
본 죽&비빔밥 행신롯데마트옆점,"경기도 고양시 덕양구 중앙로558번길 7-4 (행신동, 행신동비전프라자)"
본 죽&비빔밥 고양능곡점,"경기도 고양시 덕양구 토당로 115 (토당동, 금호프라자)"
본 죽&비빔밥 남양주덕소점,경기도 남양주시 와부읍 덕소로97번길 13 이레빌딩 201호
본 죽&비빔밥 수원율전점,경기도 수원시 장안구 서부로 2113 (율전동) 1층
본 죽&비빔밥 수원권선점,경기도 수원시 권선구 덕영대로1201번길 36 (권선동) 1층
본 죽&비빔밥 죽전현대홈타운점,"경기도 용인시 수지구 현암로 119 (죽전동, 죽전메디뷰) 102호"
본 죽&비빔밥 양주옥정점,경기도 양주시 옥정로 196 (옥정동)
본 죽&비빔밥 일산주엽점,"경기도 고양시 일산서구 중앙로 1413 (주엽동, 동영빌딩) 105호"
본 죽&비빔밥 남양주마석점,경기도 남양주시 화도읍 맷돌로91번길 4-18
본 죽&비빔밥 수원호매실휴먼시아점,경기도 수원시 권선구 금곡로 112 (금곡동) 이수프라자 103호
본 죽&비빔밥 위례역점,"경기도 성남시 수정구 위례광장로 21-6 (창곡동, 정프라자) 103호"
본 죽&비빔밥 수원탑동점,경기도 수원시 권선구 탑동로 61 (탑동)
본 죽&비빔밥 오산시청점,"경기도 오산시 성호대로 123 (오산동, 오산그린프라자) 102호 1층"
본 죽&비빔밥 동삭센트럴자이점,"경기도 평택시 상서재로 55 (동삭동, 평택센트럴자이3단지)"
본 죽&비빔밥 광교법조타운점,경기도 수원시 영통구 광교중앙로248번길 40 (하동) 101호 (광교스마트법조프라자)
본 죽&비빔밥 동탄호수공원점,경기도 화성시 동탄순환대로 127-5 (산척동) 1층
본 죽&비빔밥 안산반월역점,"경기도 안산시 상록구 건건로 123 (건건동, 한맥빌딩) 3층"
본 죽&비빔밥 동탄산척점,경기 화성시 동탄순환대로 253 (산척동) 모닝그레이스빌딩 107호
본 죽&비빔밥 용인흥덕점,"경기도 용인시 기흥구 흥덕중앙로 59 (영덕동, 용인흥덕노블레스흥덕노블레스) 1층"
본 죽&비빔밥 동탄목동점,경기도 화성시 왕배산2길 4-16 (목동)
본 죽&비빔밥 신중동점,"경기도 부천시 중동로248번길 86 (중동, 탑프라자) 104호"
본 죽&비빔밥 수원호매실화홍병원점,경기도 수원시 권선구 호매실로90번길 86 (호매실동) 호매실가든주차타워 104호
본 죽&비빔밥 경기안성점,경기도 안성시 백성1길 20 (대천동)
본 죽&비빔밥 파주야당역점,경기도 파주시 경의로 1056 (야당동) 아이플랙스 1층 115호
본 죽&비빔밥 파주금촌점,"경기도 파주시 중앙로 303 (금촌동, 재성빌딩)"
본 죽&비빔밥 안성당왕점,"경기도 안성시 고수2로 18 (당왕동, 대우경남아파트) 대우경남아파트 상가 103, 104호"
본 죽&비빔밥 동탄점,"경기도 화성시 동탄반석로 196 (반송동, 아이프라자) 114호"
본 죽&비빔밥 성남금광점,"경기도 성남시 중원구 광명로 325 (금광동, 대성빌딩) 1층"
본 죽&비빔밥 평촌스마트스퀘어점,"경기도 안양시 동안구 시민대로327번길 7 (관양동, 대명글로벌비즈스퀘어 125호)"
본 죽&비빔밥 파주운정신도시점,경기도 파주시 미래로 369-71 동방프라자 1층 106호
본 죽&비빔밥 병점진안점,경기도 화성시 효행로 1059 (진안동)
본 죽&비빔밥 동탄청계점,경기도 화성시 동탄대로시범길 148-54 (청계동) A동 201호
본 죽&비빔밥 판교역점,경기도 성남시 분당구 대왕판교로606번길 31 (삼평동) 112호~114호
본 죽&비빔밥 수원역사직영점,"경기도 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)"
본 죽&비빔밥 분당롯데점,경기도 성남시 분당구 백현로101번길 12 (수내동) 세인프라자 106호
본 죽&비빔밥 미사센트럴점,"경기도 하남시 미사강변대로 80 (풍산동, 그린프라자) 104호"
본 죽&비빔밥 경기광주점,경기도 광주시 광주대로 11-26 (역동) 1층
본 죽&비빔밥 안산상공회의소점,"경기도 안산시 단원구 적금로 120 (고잔동, 안산상공회의소)"
본 죽&비빔밥 위례창곡점,"경기도 성남시 수정구 위례동로 147 (창곡동, 위례건아타워)"
본 죽&비빔밥 향남2지구점,경기도 화성시 향남읍 상신하길로328번길 8-13 106호
본 죽&비빔밥 파주산내마을점,경기도 파주시 책향기로 573 (목동동) 월드타워3 111호
본 죽&비빔밥 의정부민락중앙점,경기도 의정부시 천보로 38 (민락동) 파스텔시티 116호
본 죽&비빔밥 부천상동점,"경기도 부천시 상동로 84 (상동, 영플러스) 105, 106호"
본 죽&비빔밥 대화역점,"경기도 고양시 일산서구 강성로 247 (대화동, 명진프라자빌딩) 107호"
본 죽&비빔밥 수원영통벽적골점,"경기도 수원시 영통구 덕영대로1555번길 16 (영통동, 벽적골롯데아파트) 벽적골롯데아파트상가 135호"
본 죽&비빔밥 분당야탑점,"경기도 성남시 분당구 야탑로69번길 8 (야탑동, 한주코아) 101호"
본 죽&비빔밥 시흥목감조남점,경기도 시흥시 목감남서로 9-27 (조남동) 키움프라자 112호
본 죽&비빔밥 안양덕천래미안점,"경기도 안양시 만안구 태평로60번길 42 (안양동, 센트럴타워2) 105호"
본 죽&비빔밥 성남상대원점,경기도 성남시 중원구 희망로 336 (상대원동)
본 죽&비빔밥 광명소하지구점,경기도 광명시 금하로 464 (소하동) 메이저리치안 102호
본 죽&비빔밥 미사점,"경기도 하남시 미사강변대로 216 (망월동, 한강트윈프라자2) 103호"
본 죽&비빔밥 용인역북점,경기도 용인시 처인구 명지로40번길 4 (역북동) 1층 103호
본 죽&비빔밥 동탄역점,경기도 화성시 동탄대로 489 (오산동) 동탄우성KTX타워 112호
본 죽&비빔밥 광교아브뉴프랑점,경기도 수원시 영통구 센트럴타운로 85 광교c1호반베르디움
본 죽&비빔밥 성남모란시장점,경기도 성남시 중원구 성남대로 1133 성남 메트로칸
본 죽&비빔밥 경기안중점,경기도 평택시 안중읍 안현로서6길 56
본 죽&비빔밥 동백중앙점,경기도 용인시 기흥구 동백중앙로 269 벤포스타1층
본 죽&비빔밥 일산라페스타점,경기도 고양시 일산동구 무궁화로 37 (장항동) 노블리제 제1층
본 죽&비빔밥 부천원종동점,경기도 부천시 소사로 742 (원종동)
본 죽&비빔밥 부천시청점,"경기도 부천시 길주로 219 (중동, 드림빌딩) 104호"
본 죽&비빔밥 안산중앙점,경기도 안산시 단원구 예술대학로 17(고잔동) 중앙노블레스 125호
본 죽&비빔밥 분당제생병원점,경기도 성남시 분당구 서현로180번길 13 (서현동) 서현프라자
본 죽&비빔밥 용인동아솔레시티점,경기도 용인시 기흥구 보정로 32 (보정동) 지젤스포츠클럽 1층
본 죽&비빔밥 평촌점,경기도 안양시 동안구 관평로 170번길 33 104호
본 죽&비빔밥 수원매산점,경기도 수원시 팔달구 갓매산로 51 (매산로2가) 106호
본 죽&비빔밥 범계역점,경기도 안양시 동안구 시민대로 171 (비산동) 금강벤처텔 107호
본 죽&비빔밥 김포운양점,경기도 김포시 김포한강11로 288-27 한강프라자 112호
본 죽&비빔밥 향남점,"경기도 화성시 향남읍 발안로 112 104호 (행정리,삼성프라자)"
본 죽&비빔밥 평택지산점,경기도 평택시 지산3로 57 (지산동)
본 죽&비빔밥 경기광주태전점,경기도 광주시 고불로 54 (중대동) 좌측 1번째
본 죽&비빔밥 오산세교점,"경기도 오산시 수청로 197 (금암동) 103호 (금암동,백현프라자)"
본도시락 원주혁신도시점,강원도 원주시 반곡동 1880-7 102호
본 죽&비빔밥 원주단계점,"강원도 원주시 천사로 12 (단계동, 성우프라자) 106호"
본 죽&비빔밥 속초점,강원도 속초시 중앙로 89-1 (청학동) 1층
본 죽&비빔밥 인제점,강원도 인제군 인제읍 인제로 200 (상동리) 1층
본 죽&비빔밥 강릉입암점,강원도 강릉시 성덕로 316-11 (입암동) 103호
본 죽&비빔밥 원주문막점,강원도 원주시 문막읍 건등로 24 (건등리) 1층
본 죽&비빔밥 주문진점,"강원도 강릉시 주문진읍 항구로 40 (주문리, 강릉주문진풍림아이원하버뷰) 104호"
본 죽&비빔밥 춘천퇴계한숲점,"강원도 춘천시 안마산로 113 (퇴계동, e편한세상 춘천 한숲시티) 상가 B2-103호"
본 죽&비빔밥 원주기업도시점,강원도 원주시 지정면 신지정로 322 (가곡리) 104호
본 죽&비빔밥 원주법원점,강원 원주시 능라동길 70 (무실동) 104호
본 죽&비빔밥 원주태장점,강원 원주시 흥양로51번길 1 (태장동) 1층
본 죽&비빔밥 원주단관점,강원 원주시 단구로 371 (단구동) 1층
본 죽&비빔밥 삼척점,"강원도 삼척시 대학로 32-9 (남양동, 중앙빌딩) 105호"
본 죽&비빔밥 강릉아산병원점,강원도 강릉시 사천면 방동길 27
본 죽&비빔밥 강릉중앙점,강원도 강릉시 임영로 115 (성내동) 1층
본 죽&비빔밥 동해천곡점,강원도 동해시 한섬로 113-1 (천곡동) 1층
본 죽&비빔밥 원주점,강원도 원주시 원일로115번길 12 (일산동)
본 죽&비빔밥 동해효가점,강원도 동해시 청운1길 52 (쇄운동) 104호
본 죽&비빔밥 원주혁신점,강원도 원주시 혁신로 37-3 (반곡동) 스타타워
본 죽&비빔밥 청주율량2지구점,충청북도 청주시 청원구 율량로 118 (주성동) 1층
본 죽&비빔밥 청주강서점,충청북도 청주시 흥덕구 서현북로 66 (가경동) 103호
본 죽&비빔밥 서충주점,충청북도 충주시 중앙탑면 원앙길 8-14 (용전리) 101호
본 죽&비빔밥 음성혁신두성점,충청북도 음성군 맹동면 대하로 242 (두성리) 나동 102호
본 죽&비빔밥 청주방서점,충청북도 청주시 상당구 2순환로2031번길 12-6 (방서동) 1층
본 죽&비빔밥 강내점,충청북도 청주시 흥덕구 강내면 태성탑연로 452 (탑연리) 1층
본 죽&비빔밥 증평점,충청북도 증평군 증평읍 중앙로 194-9 (중동리) 1층
본 죽&비빔밥 청주운천신봉점,"충청북도 청주시 흥덕구 사운로 254 (운천동, 손범수내과소아과의원) 1층"
