매장명,매장주소,lat,lng
본도시락 고려대점,충북 충주시 연수동산로3길 20,37.5822931,127.0286111
본 죽&비빔밥 여의도역점,충북 충주시 연수동산로3길 20,37.5214704,126.9249738
본죽 동묘앞역점,충북 충주시 연수동산로3길 20,37.5747174,127.0158837
본도시락 홍은점,충북 충주시 연수동산로3길 20,37.598222,126.9452041
본 죽&비빔밥 은평신사점,충북 충주시 연수동산로3길 20,37.5981745,126.9103988
본 죽&비빔밥 태릉입구역점,충북 충주시 연수동산로3길 20,37.6188116,127.0756183
본설렁탕 은평뉴타운점,충북 충주시 연수동산로3길 20,37.6357288,126.9193479
본 죽&비빔밥 여의홍우점,충북 충주시 연수동산로3길 20,37.5208744,126.9313093
본도시락 선릉점,충북 충주시 연수동산로3길 20,37.5025747,127.0505248
본 죽&비빔밥 강남구청역점,충북 충주시 연수동산로3길 20,37.5174526,127.0389939
본도시락 영등포문래점,충북 충주시 연수동산로3길 20,37.5189767,126.8862918
본 죽&비빔밥 종로5가점,충북 충주시 연수동산로3길 20,37.5711459,126.9998741
본 죽&비빔밥 합정역점,충북 충주시 연수동산로3길 20,37.5514445,126.9159344
본죽 만리점,충북 충주시 연수동산로3길 20,37.5548629,126.9644863
본 죽&비빔밥 제기동역점,충북 충주시 연수동산로3길 20,37.5772496,127.0357739
본도시락 충무로점,충북 충주시 연수동산로3길 20,37.5622167,126.990928
본 죽&비빔밥 장안동점,충북 충주시 연수동산로3길 20,37.5694827,127.0747898
본 죽&비빔밥 사당연세사랑병원점,충북 충주시 연수동산로3길 20,37.4774345,126.9875091
본 죽&비빔밥 봉화산역점,충북 충주시 연수동산로3길 20,37.6163597,127.0927002
본 죽&비빔밥 공릉원자력병원점,충북 충주시 연수동산로3길 20,37.6269386,127.0795663
본 죽&비빔밥 구로디지털포스트1차점,충북 충주시 연수동산로3길 20,37.4837318,126.8953657
본도시락 노원점,충북 충주시 연수동산로3길 20,37.6539732,127.0622651
본도시락 신촌점,충북 충주시 연수동산로3길 20,37.558247,126.9342758
본 죽&비빔밥 화랑대역점,충북 충주시 연수동산로3길 20,37.6208327,127.0836582
본 죽&비빔밥 성수힐스테이트점,충북 충주시 연수동산로3길 20,37.5421465,127.0529522
본도시락 가락본동점,충북 충주시 연수동산로3길 20,37.5001481,127.1234546
본 죽&비빔밥 잠실레이크팰리스점,충북 충주시 연수동산로3길 20,37.5070577,127.092279
본 죽&비빔밥 신사점,충북 충주시 연수동산로3길 20,37.5178614,127.0222931
본 죽&비빔밥 보라매점,충북 충주시 연수동산로3길 20,37.4914777,126.9234164
본 죽&비빔밥 길음역점,충북 충주시 연수동산로3길 20,37.6026982,127.0236736
본 죽&비빔밥 경복궁역점,충북 충주시 연수동산로3길 20,37.5766438,126.9727808
본 죽&비빔밥 역삼특허청점,충북 충주시 연수동산로3길 20,37.4986601,127.0329497
본도시락 광운대역점,충북 충주시 연수동산로3길 20,37.6239685,127.0607355
